sent1	sent2	sick	glove_orig	glove_v1	glove_v2	sbert_orig	sbert_v1	sbert_v2	sbert
Orange juice is being drunk by a man who is walking on a sunny day	A man is drinking orange juice and walking on a sunny day	1.0	0.653	0.634	0.806	0.664	0.61	0.664	0.95488095
A trick is being performed by a rollerblader on a ramp	A rollerblader is performing a trick on a ramp	1.0	0.737	0.737	0.737	0.737	0.737	0.737	0.977641
The crowd is watching a football game	A football game is being watched by the crowd	1.0	1.0	1.0	1.0	1.0	0.9	1.0	0.9197329
A tan dog is running through the brush	A dog, which is tan, is running through the brush	1.0	0.875	0.868	0.875	0.875	0.846	0.875	0.9767431
A man in a suit is standing at a microphone and singing	The man in a suit is standing at a microphone and singing	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9982879
Some people are treading through the snow of the landscape which is beautiful and snowy	Some people are treading through the snow of the beautiful snowy landscape	1.0	0.6	0.572	0.6	0.667	0.524	0.667	0.98781276
A man is pouring oil into a pan	Oil is being poured into a skillet by a man	1.0	0.94	0.94	0.94	0.875	0.875	0.875	0.83840513
A man and a woman are in a room painted beige, wearing dark colored shirts and a monitor is in the background	A man and a woman are in a beige room, wearing dark colored shirts and a monitor is in the background	1.0	0.862	0.865	0.862	0.862	0.843	0.862	0.9303498
The man is sitting on the floor in a room and strumming a guitar	A man is sitting on the floor in a room and strumming a guitar	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.99668056
Two people are standing in the ocean and watching the sunset	Two people are standing in the ocean and looking at the sunset	1.0	0.952	0.952	0.952	0.952	0.952	0.952	0.9845793
The person in the blue jacket is wearing a colorful helmet	A person in a blue jacket is wearing a colorful helmet	1.0	0.846	0.818	0.846	0.846	0.738	0.846	0.9941871
The parrot is speaking	A parrot is speaking	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.98107463
The group of people is sitting on a ledge which is rocky and a scenic view is behind them	The group of people is sitting on a rocky ledge and a scenic view is behind them	1.0	0.824	0.751	0.824	0.824	0.705	0.824	0.9816383
The person is brushing a cat	A person is brushing a cat	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9953521
A malnourished looking dog is standing on its hind legs and preparing to jump	The malnourished looking dog is standing on its hind legs and is preparing to jump	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.99093354
Two women are wearing bikinis and walking on the sand	Two women are wearing bikinis and are walking on the sand	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9960129
A dog, which is black, is running in the grass	A black dog is running in the grass	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.97358793
The man is sitting outside under a purple umbrella	The man is sitting outdoors under a purple umbrella	1.0	0.917	0.917	0.917	0.989	0.989	0.989	0.9785552
The woman is playing with two young boys at a park	A woman is playing with two young boys at a park	1.0	1.0	1.0	1.0	1.0	0.875	1.0	0.9977565
A man is pouring oil into a skillet	Oil is being poured into a skillet by a man	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9576398
The woman is wearing a blue helmet and is riding a bicycle in a parking lot	A woman is wearing a blue helmet and is riding a bicycle in a parking lot	1.0	1.0	1.0	1.0	1.0	0.982	1.0	0.996755
A surfer is leaning on a surfboard	The surfer is leaning on a surfboard	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.995857
The man is pouring oil into a pan	A man is pouring oil into a pan	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9961778
A dog is herding a group of white sheep on a dusty farm	A dog is herding a pack of white sheep on a dusty farm	1.0	0.929	0.923	0.929	0.929	0.886	0.929	0.9888607
A sheepdog is grouping a herd of sheep	The sheepdog is grouping a herd of sheep	1.0	0.667	0.667	0.667	0.667	0.667	0.667	0.9895771
The male, who is dark skinned, is standing on one hand in front of a yellow building	The dark skinned male is standing on one hand in front of a yellow building	1.0	0.813	0.8	0.933	0.858	0.82	0.858	0.97162306
A bike is being ridden by a person	A person is riding a bike	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8295847
The guitar is being played by the man, who has the guitar case open for donations	The man is playing the guitar and has the guitar case open for donations	1.0	0.679	0.737	0.679	0.679	0.689	0.679	0.9381349
A small boy in a shirt, which is yellow, is laughing on the beach	A small boy in a yellow shirt is laughing on the beach	1.0	1.0	0.949	1.0	1.0	0.892	1.0	0.9867855
The little boy is wearing a yellow tank top and is laughing	A little boy is wearing a yellow tank top and is laughing	1.0	1.0	1.0	1.0	1.0	0.908	1.0	0.99561167
A group of people is equipped with protective gear	A group of people is equipped with gear used for protection	1.0	0.783	0.783	0.783	0.783	0.783	0.783	0.93687624
The orange rescue boat is rushing across the water	The rescue boat, which is orange, is rushing across the water	1.0	0.917	0.917	0.917	0.917	0.917	0.917	0.98203915
The puppy is playing with a plastic container	The puppy is playing with a container made of plastic	1.0	0.778	0.778	0.778	0.778	0.778	0.778	0.98712105
The group of people is standing together and looking at the camera	A group of people is standing together and looking at the camera	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.99645907
A brown dog and a black dog are playing in the sand	The black dog is playing with the brown dog on the sand	1.0	0.769	0.769	0.769	0.769	0.769	0.769	0.9373442
A brown dog and a black dog are playing in the sand	A black dog is playing with a brown dog on the sand	1.0	0.769	0.769	0.769	0.769	0.769	0.769	0.9437263
The person is boiling noodles	A person is boiling noodles	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9940113
A dog is walking along the snowdrift	A dog is walking along a snowdrift	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9966341
A light brown dog is running up a street	The light brown dog is running up a street	1.0	0.833	0.654	0.833	0.833	0.69	0.833	0.99422127
A guinea pig is devouring a carrot	A guinea pig is eating a carrot	1.0	0.75	0.714	0.75	0.75	0.66	0.75	0.865013
A surfer is riding a big wave	The surfer is riding a big wave	1.0	1.0	1.0	1.0	1.0	0.929	1.0	0.9936053
A person is pouring oil for cooking into a pot	A person is pouring cooking oil into a pot	1.0	0.857	0.857	0.857	0.857	0.857	0.857	0.96458757
A tennis player with a green headband is hitting the ball	The tennis player with a green headband is hitting the ball	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9981649
The woman is cracking eggs into a bowl	Eggs are being cracked into a bowl by the woman	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.89661336
Three people are driving ATVs	ATVs are being driven by three people	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.93110126
The horse is being ridden by a man	A man is riding the horse	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.845665
A woman, who is seated, is singing a song and playing the guitar	A seated woman is singing a song and playing the guitar	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9762273
A fur scarf is being held by an Asian woman	An Asian woman is holding a fur scarf	1.0	0.923	1.019	0.975	0.923	0.853	0.923	0.94145834
Noodles are being boiled in water by a woman	A woman is boiling noodles in water	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9124148
A young boy is diving into a still lake	A young boy is jumping into a still lake	1.0	0.833	0.791	0.833	0.8	0.62	0.8	0.95295286
The woman is slicing an onion	An onion is being sliced by the woman	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9008011
A man is dangerously throwing knives at the tree	A man is dangerously throwing knives at a tree	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9971233
Mud is covering a topless woman	A topless woman is being covered in mud	1.0	0.7	0.667	0.7	0.7	0.624	0.7	0.9171159
A family is purchasing something at the vending machine	A family is buying something at the vending machine	1.0	0.838	0.838	0.838	0.843	0.843	0.843	0.9894686
A woman is cutting a potato	A woman is slicing a potato	1.0	0.667	0.667	0.667	0.718	0.718	0.718	0.89404976
The adults and children are being grouped near an outdoor seating arrangement	The adults and children are being gathered near an outdoor seating arrangement	1.0	0.812	0.812	0.812	0.832	0.832	0.832	0.97211087
The man with a hard hat is dancing	A man is wearing a hard hat and dancing	1.0	0.609	0.571	0.609	0.634	0.542	0.634	0.9689174
Pedestrians and cars are moving through a traffic jam in a big city	Pedestrians and cars are moving through a traffic jam in the big city	1.0	1.0	1.0	1.0	1.0	0.946	1.0	0.9990287
The lady is dicing onions	The woman is dicing onions	1.0	0.93	0.93	0.93	0.995	0.995	0.995	0.99162203
A monkey is brushing the dog	The monkey is brushing the dog	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9952635
A tiger is aimlessly walking around	A tiger is walking around aimlessly	1.0	0.8	0.8	0.8	0.8	0.8	0.8	0.98022646
The cat is playing with a device	A cat is playing with a device	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9886264
The man is playing a flute	A flute is being played by the man	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8833289
The boy in blue is running away from the woman in blue	A boy in blue is running away from a woman in blue	1.0	0.9	0.9	0.9	0.9	0.9	0.9	0.9894583
A river is being crossed by a dog on a bridge made from a fallen tree	A dog is crossing a river on a bridge made from a fallen tree	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9528221
A person is climbing a rock with a rope, which is pink	A rock is being climbed by a person with a rope, which is pink	1.0	0.727	0.727	0.727	0.727	0.727	0.727	0.94381845
A tower is being looked at by a blonde lady	A blonde lady is looking at a tower	1.0	1.0	1.0	1.0	1.0	0.934	1.0	0.9442531
A lady is putting on makeup	A woman is putting on makeup	1.0	0.93	0.93	0.93	0.995	0.995	0.995	0.99552536
Three men and a woman are posing for a picture	A woman and three men are posing for a photo	1.0	0.944	0.944	0.944	0.952	0.952	0.952	0.9805325
A dog is standing with its two front paws on a rock in a field	The dog is standing with its two front paws on a rock in the field	1.0	1.0	1.0	1.0	1.0	0.896	1.0	0.99592245
The man is standing on the sidewalk	A man is standing on a sidewalk	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9891205
A brown and white dog is leaping in the air with a tennis ball in its mouth	A brown and white dog is jumping in the air with a tennis ball in its mouth	1.0	0.808	0.796	0.808	0.815	0.776	0.815	0.99548864
A fearful little boy is on a climbing wall	A little boy, who looks fearful, is on a climbing wall.	1.0	0.889	0.727	0.889	0.889	0.657	0.889	0.97519845
A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling	A lady of young age, with light brown hair, is wearing a red necklace, a sweatshirt and earrings and is smiling	1.0	0.82	0.939	0.82	0.82	0.943	0.82	0.9848014
A furry brown dog is running through the grassy area	The furry brown dog is running through the grassy area	1.0	1.0	1.0	1.0	1.0	0.859	1.0	0.99463797
The teenage girl is wearing beads that are red	A teenage girl is wearing beads that are red	1.0	1.0	1.0	1.0	1.0	0.924	1.0	0.99294704
The man in the straw hat is smoking a cigarette	A cigarette is being smoked by the man in the straw hat	1.0	1.0	1.0	1.0	1.0	0.941	1.0	0.94883436
A man is wearing a straw hat and smoking a cigarette	The man in the straw hat is smoking a cigarette	1.0	0.64	0.609	0.64	0.64	0.562	0.64	0.97930485
The woman is playing the flute	A woman is playing a flute	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9906261
The smiling boy in winter clothes is waving his mittened hands outside the building in the snow	A smiling boy in winter clothes is waving his mittened hands outside a building in the snow	1.0	0.875	0.972	0.925	0.865	0.957	0.865	0.99723184
A woman in a purple top is walking a bicycle between two stone columns	A woman in a top which is purple is walking a bicycle between two stone columns	1.0	0.895	0.895	0.947	0.895	0.895	0.895	0.9845878
A child, who is young, dressed for cold weather, is standing outside	A young child dressed for cold weather is standing outside	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.98649085
A dog that has a brown and white coat is trotting through shallow water	A dog that has a white and brown colored coat is trotting through shallow water.	1.0	0.875	0.867	0.875	0.893	0.863	0.893	0.9728005
A man and a child are kayaking through gentle waters	The man and the child are kayaking through gentle waters	1.0	0.857	0.846	0.857	0.857	0.823	0.857	0.98182255
A woman is playing a flute	The flute is being played by the woman	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8912857
The dog is chasing the ball	A dog is chasing a ball	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.98568803
The woman is wearing a red jacket and holding a glass in front of the man in a t-shirt, which is white	The woman is wearing a red jacket and holding a glass in front of the man in a white t-shirt	1.0	0.875	0.875	0.875	0.875	0.875	0.875	0.9713976
A young girl in a blue leotard is jumping in the air	A young girl in a leotard colored in blue is jumping in the air	1.0	0.857	0.858	0.857	0.857	0.863	0.857	0.97756517
The young girl in blue is jumping in the air	A young girl in blue is jumping in the air	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.99721456
The woman is cooking eggs	A woman is cooking eggs	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9971689
Rugby is being played by some men	Some men are playing rugby	1.0	1.0	0.849	1.0	1.0	0.897	1.0	0.91796446
The lady is penciling on eyeshadow	The woman is penciling on eyeshadow	1.0	0.93	0.93	0.93	0.995	0.995	0.995	0.9936823
A brown dog and a gray dog are playing in the snow	The brown dog and the gray dog are playing in the snow	1.0	1.0	1.0	1.0	1.0	0.967	1.0	0.9926998
A small dog is chasing a large brown cow	A dog, which is small, is chasing a large brown cow	1.0	1.0	0.915	1.0	1.0	0.77	1.0	0.97845566
One man in a big city is holding up a sign and begging for money	A man in a big city is holding a sign and begging for money	1.0	0.889	0.882	0.889	0.91	0.858	0.91	0.97667277
The dog is catching a ball	A dog is catching a ball	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.99109656
The woman is pouring oil into the pan	Oil is being poured into the pan by the woman	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9487691
The milk is being drunk by a cat	The cat is drinking some milk	1.0	0.857	0.857	0.857	0.857	0.857	0.857	0.8898899
A man is slicing some bread	A man is slicing bread	1.0	0.857	1.023	0.95	0.857	1.049	0.857	0.98492104
A woman is stroking a lemur	A lemur is being stroked by a woman	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.89835423
The woman is slicing cooked octopus	The woman is cutting cooked octopus	1.0	0.75	0.75	0.75	0.788	0.788	0.788	0.950344
A man is drawing	The man is drawing	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.98670304
Someone is playing a piano	A piano is being played by someone	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.86633646
A guy is riding a horse	A horse is being ridden by a guy	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.87768596
Butter is being chopped into a container by a man	A man is chopping butter into a container	1.0	0.75	0.75	0.75	0.75	0.75	0.75	0.91767585
A paper plate is being cut by a man	A man is cutting a paper plate	1.0	0.875	0.892	0.875	0.875	0.838	0.875	0.9224342
A man is cutting a paper plate	A paper plate is being cut by the man	1.0	0.875	0.892	0.875	0.875	0.838	0.875	0.9175302
A man is cutting a paper plate	The man is cutting a paper plate	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9950913
The content of a bowl is being mixed by a man	A man is mixing the content of a bowl	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8185768
A steak is being rinsed with water by a person	A person is rinsing a steak with water	1.0	0.75	0.75	0.75	0.75	0.75	0.75	0.89820147
A dog is jumping on a trampoline	A dog is bouncing on a trampoline	1.0	0.667	0.667	0.667	0.667	0.667	0.667	0.9446017
The dog is licking the baby	A dog is licking a baby	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9795484
A piece of wood is being screwed to a wall by a man	A man is screwing a piece of wood to a wall	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.90614575
A machine is sharpening a pencil	The machine is shaving the end of a pencil	1.0	0.429	0.429	0.429	0.429	0.429	0.429	0.7666585
The man is thinking	A man is thinking	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9803711
A horse is being ridden by a woman	A woman is riding a horse	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8851012
A woman is riding a horse	A horse is being ridden by a woman	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8851012
A man is slicing an onion	The onion is being cut by the man	1.0	0.667	0.667	0.667	0.718	0.718	0.718	0.8797275
A violin is being played by a man	A man is playing a violin	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.92396224
A keyboard is being played by a man	A man is playing a keyboard	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9266847
A woman is being handed volleyballs by another woman	One woman is handing volleyballs to another woman	1.0	0.909	0.969	0.909	0.909	0.946	0.909	0.92217433
A tray is being buttered by a person	A person is buttering a tray	1.0	0.667	0.667	0.667	0.709	0.709	0.709	0.9319571
A man is playing a harp	The man is playing a harp	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9961208
A man is playing a wooden flute	A wooden flute is being played by a man	1.0	1.0	1.0	1.0	1.0	0.95	1.0	0.91363955
Some food is being eaten by a man	A man is eating some food	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8389899
The girl is sitting on the couch and is crocheting	The girl is sitting on the sofa and crocheting	1.0	0.88	0.88	0.88	0.896	0.896	0.896	0.9537989
The pepper is being sliced by a woman with a knife	The woman with a knife is slicing a pepper	1.0	0.778	0.778	0.778	0.778	0.778	0.778	0.9412079
A man is strolling in the rain	A man is walking in the rain	1.0	0.667	0.667	0.667	0.741	0.741	0.741	0.9380342
A boy is filling a pitcher with water	A pitcher is being filled with water by a boy	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8941045
The men are putting suitcases into the trunk of a car	The men are packing suitcases into the trunk of a car	1.0	0.8	0.8	0.8	0.8	0.8	0.8	0.9681674
A woman is putting on eyeshadow	Eyeshadow is being put on by a woman	1.0	0.625	0.625	0.625	0.625	0.625	0.625	0.85013807
The boys are standing in front of the car, which is burning	The boys are standing in front of the burning car	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9430991
A frog is being handled by the woman	The woman is handling a frog	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9099978
The boy is studying a calendar	A boy is studying a calendar	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9912906
The man is typing on a machine used for stenography	A man is typing on a machine used for stenography	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9962249
A cat is thrown at the ceiling by a person	A person is throwing a cat at the ceiling	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.89099264
A person is scrubbing a zucchini	The person is scrubbing a zucchini	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9930078
A man in a cap is playing a harp	A man in a hat is playing a harp	1.0	0.819	0.819	0.819	0.824	0.824	0.824	0.9561194
A trumpet is being played by a person	A person is playing a trumpet	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8524772
The woman is playing a flute	A woman is playing a flute	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9946755
The man is riding a horse	A man is riding a horse	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.99185574
The cat is playing keyboards	A cat is playing keyboards	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.99300474
The man is rising from a swamp	A man is rising from a swamp	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.99336654
A man is dancing upside-down on the ceiling	The man is dancing upside-down on the ceiling	1.0	0.556	0.556	0.556	0.556	0.556	0.556	0.99628794
The girl is exercising	A girl is exercising	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.99419266
Two men are doing a funny skit with a boxer in front of a crowd of people	Two men are doing a skit, which is very funny, with a boxer in front of a crowd of people	1.0	0.789	0.811	0.789	0.786	0.794	0.786	0.9785996
A woman is peeling a potato	The woman is peeling a potato	1.0	0.667	0.667	0.667	0.667	0.667	0.667	0.9956809
A woman is slicing a tomato	A tomato is being sliced by a woman	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9309141
A person is riding a jetski in the waves	The person is riding a jetski in the waves	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.99262017
A Seadoo is being ridden by a woman	A woman is riding a Seadoo	1.0	0.974	0.974	0.974	0.9	0.9	0.9	0.8868115
A horse is being ridden by a man	A man is riding a horse	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8936811
One man is riding a horse	The man is riding a horse	1.0	0.857	0.857	1.0	0.857	0.857	0.857	0.9161601
A horse is being ridden by a man	The man is riding a horse	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.869493
Somebody is playing the piano	The piano is being played by someone	1.0	0.979	0.979	0.979	0.992	0.992	0.992	0.87051266
A person is folding a tortilla	A tortilla is being folded by a person	1.0	0.667	0.667	0.667	0.667	0.667	0.667	0.78401744
A person with a back pack, who is topless, is in front of a pile of rocks and clouds are in the background	A topless person with a back pack is in front of a pile of rocks and clouds are in the background	1.0	0.92	0.92	0.92	0.92	0.92	0.92	0.9574022
A small dog is lying on a bed	A small dog is lying on the bed	1.0	1.0	1.0	1.0	1.0	0.938	1.0	0.9957659
The guitar is being played by a man	A man is playing the guitar	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8949808
A boy is hanging a fishing rod and running in front of a fish 	A boy is hanging a rod for fishing and running in front of a fish	1.0	0.889	0.88	0.889	0.889	0.88	0.889	0.96279615
Two pandas are lying together	Two panda bears are lying together	1.0	0.778	1.013	0.778	0.836	1.021	0.836	0.9422118
A woman is frying fish	Fish is being fried by a woman	1.0	0.4	0.4	0.4	0.4	0.4	0.4	0.88036346
Grass is being mowed by a man	A man is mowing grass	1.0	0.667	0.667	0.667	0.667	0.667	0.667	0.91131926
A skunk is being held by a person	A person is holding a skunk	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.81369215
A man is cutting tomatoes	A man is slicing tomatoes	1.0	0.667	0.667	0.667	0.718	0.718	0.718	0.9322446
A cupcake is being eaten by a girl	A girl is eating a cupcake	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.86067677
One person who is practicing snowboarding jumps into the air	A person who is practicing snowboarding jumps into the air	1.0	0.909	0.909	1.0	0.909	0.909	0.909	0.9290032
A woman is wearing sunglasses of large size and is holding newspapers in both hands	The woman is wearing sunglasses of large size and is holding newspapers in both hands	1.0	1.0	1.0	1.0	1.0	0.973	1.0	0.99704754
Someone is stirring a pot of chili with a spoon	A pot of chili is being stirred by someone with a spoon	1.0	0.7	0.7	0.7	0.747	0.747	0.747	0.9560081
A small dog is lying on the bed	A small dog is lying on a bed	1.0	1.0	1.0	1.0	1.0	0.938	1.0	0.9957659
Tofu is being sliced by a woman	A woman is slicing tofu	1.0	0.625	0.625	0.625	0.625	0.625	0.625	0.88841414
An octopus is being sliced by a woman	A woman is slicing an octopus	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.93625355
Some cheese is being put on a pizza by a man	A man is putting some cheese on a pizza	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9481877
A lady is mixing a meat mixture in a bowl	A lady is mixing a mixture of meat in a bowl	1.0	0.9	0.917	0.9	0.9	0.821	0.9	0.9884157
Hay is being eaten by a cow	A cow is eating hay	1.0	0.625	0.625	0.625	0.625	0.625	0.625	0.9058989
The man and the boy are standing at the bottom of the stairs, which are outdoors	A man and a boy are standing at the bottom of some stairs, which are outdoors	1.0	0.933	0.933	0.933	0.933	0.933	0.933	0.9696505
A boy, who is young, is playing a wind instrument	A young boy is playing a wind instrument	1.0	1.0	0.92	1.0	1.0	0.846	1.0	0.9714548
A person is peeling a potato	A potato is being peeled by a person	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.86258525
A man is riding a motorcycle	A motorcycle is being ridden by a man	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8437313
The man is cutting the tape on the box	A man is cutting the tape on the box	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.99674785
A man is performing tricks with a soccer ball	A man is doing some tricks with a soccer ball	1.0	0.75	0.727	0.75	0.75	0.674	0.75	0.9838438
A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face	A man in a shirt dyed purple is looking at a man in a black shirt who is doing a face which looks funny	1.0	0.683	0.714	0.648	0.665	0.728	0.66	0.97061336
An animal is biting a person's finger	An animal is biting someone's finger	1.0	0.974	0.974	0.974	0.978	0.978	0.978	0.9688324
A horse is being ridden by a person	A person is riding a horse	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.7901052
The drums are being played by a man	A man is playing the drums	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8837668
