sent1	sent2	theme	score
Must I enter Europe with Schengen visa from the country where I applied?	If I have Schengen visa, can I enter Schengen area from different country?	question-question	4.0
What could be causing my toilet to back up?	What could be causing my bathroom drains to back up?	question-question	4.0
Why is my dryer taking longer to dry clothes?	Why does it take my dryer 3 hours to dry a load of clothes?	question-question	4.0
What are some good strength exercises for marathon runners?	What are some good strength training routines for runners?	question-question	4.0
Which way does the air flow through my furnace?	Which way does air flow into a furnace?	question-question	4.0
Why is my washing machine making this sound?	What is this sound from my washing machine?	question-question	4.0
How do I convert a ceiling fan with 2 separate wall switches to a separate fan & light switch?	How can I add a new light fixture off of a ceiling fan wired to two switches?	question-question	4.0
How can I repair a towel bar with one end ripped out of the wall?	How can I repair a towel rack that was ripped out of the wall?	question-question	4.0
How can I remove a really stuck screw?	How can I remove a stuck screw that will still turn?	question-question	4.0
What are refereed and non-refereed journals?	What are the differences between Peer Reviewed Journals and Refereed Journals?	question-question	4.0
How can I prepare this old exterior wall for painting?	How do I prepare this exterior concrete wall for paint?	question-question	4.0
What can I do to fix store-bought mayonnaise that split?	How do I make mayonnaise split?	question-question	4.0
Should I negotiate if I'm offered more than what I initially asked for?	I was offered the minimum salary I requested, should I ask for more?	question-question	4.0
What does this tablature notation mean?	What does this notation mean?	question-question	4.0
Why isn't the switch working to turn off my ceiling lamp after I replaced a fan w/light?	Why does my ceiling fan turn off when I turn on the lights?	question-question	4.0
How to make good coffee in a Moka pot?	How to make more than one good cup of coffee with a moka pot?	question-question	4.0
What could be causing my GFCI to trip?	What could be causing my GFCI outlet to trip?	question-question	4.0
What could be wrong with my furnace?	What is wrong with my gas furnace?	question-question	4.0
How can I connect additional wires to a receptacle?	How do I connect the wires to this USB receptacle?	question-question	3.0
How can I prepare this old exterior wall for painting?	How do I prepare this porous interior wall for paint?	question-question	3.0
Why is there no water in the kitchen?	Why is there no hot water in the kitchen?	question-question	3.0
What more can I do to improve my credit score?	Can I pay a collection agency in a way that will improve my credit score?	question-question	3.0
Bar ware - What kind of glass is this?	What kind of glass is this?	question-question	3.0
Do I really need a redundant sump pump?	Do I need to install a sump pump?	question-question	3.0
How can I work out how valuable I am to my boss and company?	How can I convince my boss I am the right person to lead a future team?	question-question	3.0
Do I need to apply for ESTA?	Flying from California to Texas: do I need ESTA?	question-question	3.0
Should I let potential employers know I have a job offer?	Should I tell my boss I have a full time job offer?	question-question	3.0
How do I repair water-damaged hardwood floors?	How can I repair my floors' finish?	question-question	3.0
Glue underlayment to concrete: how long does it take to cure?	How long should it take concrete to fully cure?	question-question	3.0
Is it better to request a recommendation letter in person after class or by email?	Is it appropriate to ask a professor via e-mail for a letter of recommendation?	question-question	3.0
I have a Schengen visa but my UAE Residence visa cancelled. Can I still travel then?	Can I travel to the UK if my Schengen visa expired?	question-question	3.0
How do I remove paint from a wood floor?	How can I remove paint from a deck?	question-question	3.0
How to apply for a Schengen visa?	How should I apply for a Schengen visa from the UK?	question-question	3.0
Why is my furnace blowing hot air outside through a PVC pipe?	Why is my furnace blowing hot air outside?	question-question	3.0
Do I need to replace my hot water tank's pressure release valve?	Do I need to replace this water pressure valve?	question-question	3.0
How can I stop my cat's playful yet aggressive behavior?	Is my cat's aggressive behavior playful or mean, and how do I stop it?	question-question	3.0
Which reward / benefits credit card is the best value for the money in Canada?	Which reward/benefits card is the best value for money in Australia?	question-question	3.0
What is this vocal technique called?	What is this technique called?	question-question	3.0
What is the significance of the cat?	What is the significance of the missing elevator car?	question-question	3.0
How long is the life of a shot of espresso?	What is the optimal length of time for pulling a shot of espresso?	question-question	3.0
How can I get rid of fleas?	How can I get rid of fleas in my crawlspace forever?	question-question	3.0
Should I switch to third person or continue in first person?	Should I write my biography in the first or third person?	question-question	3.0
How can I tell whether a mathematics journal seems reputable?	How can I tell if a journal is reputable?	question-question	3.0
How can I stop my pie from burning?	How can I safely re-heat a chicken pie without burning the crust?	question-question	3.0
How do I replace a broken halogen bulb in the recessed light in my bathroom?	How to replace recessed halogen light from an eyeball fixture?	question-question	3.0
Is it acceptable as referee to contact an author on a paper you review?	Is it appropriate as a referee to contact an author after the editor rejected the manuscript?	question-question	3.0
What is a good solo to learn in the Dorian mode?	What is a good guitar solo to learn in the minor scale?	question-question	3.0
How can I get rid of fleas?	How do I get rid of fleas on my rabbit?	question-question	3.0
How can I add a GFCI receptacle on a circuit with split receptacles?	How can I add a GFCI breaker on two circuits with a shared neutral without rewiring?	question-question	3.0
How does Paying credit card in full VS paying with interest will affect your credit score?	Will paying off a credit card early affect my credit score?	question-question	3.0
Should I contact a PhD student or his supervisor for potential collaboration?	How should a PhD student approach a collaboration?	question-question	3.0
How can I replace a ceiling fan light pull chain?	How can I replace my light fixture with a ceiling fan?	question-question	2.0
How do I maintain a good relationship with my old boss after being promoted?	How do I maintain a good relationship with an employer after resigning?	question-question	2.0
Can I ask a company what I should wear to an interview?	What should I ask as an applicant in a job interview?	question-question	2.0
U.S. income tax & charitable donations: How much is income tax reduced by donations?	UK income tax & charitable donations: How much is income tax reduced by donations?	question-question	2.0
Can I connect two load lines to a GFCI receptacle?	How can I connect additional wires to a receptacle?	question-question	2.0
How do I replace a broken halogen bulb in the recessed light in my bathroom?	How can I replace the bulb in this ceiling fan?	question-question	2.0
How should I patch a popcorn ceiling?	Should I replace or patch a plaster ceiling?	question-question	2.0
What do I do if a professor at a foreign university doesn't respond to my emails?	What should I do if a professor says she doesn't understand my questions in office hours?	question-question	2.0
How can I keep my dog from barking when I don't know what he's barking at?	How do I stop my dog from barking at people through the fence?	question-question	2.0
Travelling to Romania for 4 days by Schengen visa issued by Germany?	Travelling to Romania on a short stay Schengen visa issued by France?	question-question	2.0
What is the professional way to follow up with a manager for project opportunity?	What is the professional way to deal with my manager's boss?	question-question	2.0
Why is compensation so much higher in the US than in Western Europe on average?	Why is interest on MMA lower in the US than in Europe?	question-question	2.0
What is the significance of the cat?	What is the significance of the abstract painting?	question-question	2.0
What could be causing water pressure to build up after changing my under sink filter?	What could be causing water to back up into my bathroom basin?	question-question	2.0
What can I eat the night before to help me get up in the morning?	What trigger do you use to get up early in the morning?	question-question	2.0
How do I convert a ceiling fan with 2 separate wall switches to a separate fan & light switch?	How do I wire 2 switches to control a ceiling light?	question-question	2.0
After a job interview, is it inappropriate if I want to talk to an employee in private?	When (if ever) in the interview process is it appropriate to recommend a colleague?	question-question	2.0
How do you remove paint from hair?	How do I remove paint from pipes?	question-question	2.0
Is my U.S. driver's license valid in Europe?	Is Greek driver's license valid in the US?	question-question	2.0
Is it safe to leave butter at room temperature?	How do I know if food left at room temperature is still safe to eat?	question-question	2.0
How do I remove paint from a wood floor?	How do I remove a thick layer of paint from tiles?	question-question	2.0
What causes these chips in a cement brick wall, and how can I fix them?	What are these holes in my concrete wall and how can I mount things to them?	question-question	2.0
What could be causing my toilet to back up?	What could be causing water to back up into my bathroom basin?	question-question	2.0
How to bake a chicken?	How to truss a chicken?	question-question	2.0
What kind of spider web is this - and how do I get rid of it?	What are these bugs and how do I get rid of them?	question-question	2.0
What goes in a student success statement for a faculty application?	What is a good length for the statement of purpose in a U.S. PhD application?	question-question	2.0
How do I make soft chapattis?	How to make chapattis round and of same thickness?	question-question	2.0
How should you respond to your teacher who cannot help you with a recommendation?	How should you deal with a teacher who is difficult to understand?	question-question	2.0
What should I do with my credit card debt?	What should my credit limit be?	question-question	2.0
What's the best way to run a wire from inside my garage to the outside?	What's the best/easiest way to install and wire a wall light?	question-question	2.0
How do I stop my dog from jumping on me?	How do I stop my dog from barking when I bring him outside?	question-question	2.0
Should I tell prospective employer that I got a raise at my current job?	How do I bring up that I got a better job offer to my new current employer?	question-question	2.0
How to judge the quality of my own paper?	How can I assess the quality of a paper outside my field?	question-question	2.0
Is it a bad writing practice to start sentences with a verb?	Paper Title, Is it better to start with a verb?	question-question	2.0
Schengen visa for UK citizen?	How to apply for a Schengen visa?	question-question	2.0
What can I eat the night before to help me get up in the morning?	What foods can I eat to keep my energy up in an office job in the afternoon?	question-question	2.0
What could be wrong with my furnace?	What could be wrong with my air conditioner?	question-question	2.0
How do you teach a toddler not to share?	How do you teach a child religious views?	question-question	2.0
What is the best way to learn finger-picking on an acoustic guitar?	What is the best way to learn to play a piece on the guitar?	question-question	2.0
How do I troubleshoot my electric oven?	How do I troubleshoot an electric furnace?	question-question	2.0
How to apply for a Schengen visa?	Is it possible to get a Schengen visa for future date?	question-question	2.0
How can I be sure my water softener is working?	How can I determine what is in my water?	question-question	2.0
How do I cap a T junction on a roof ridge?	How do I finish a ridge cap?	question-question	2.0
How do I stop my dog from jumping on me?	How do I stop my dog from barking at people through the fence?	question-question	2.0
How to make a strong mug of filter coffee without any Coffee machine?	How to make a strong mug of instant Coffee?	question-question	2.0
What are the types of Guitar available and what are the pros and cons of each?	What are the advantages and disadvantages of various methods of supporting the classical guitar?	question-question	2.0
How do I fix a hole/gap between my shower tile and the dry wall next to it?	How do I patch a gap between my bathtub and wall?	question-question	2.0
What is a good solo to learn in the Dorian mode?	What is a good solo to learn in the major scale?	question-question	2.0
How do I remove paint from a wood floor?	How to remove milk smell from hardwood floor?	question-question	2.0
Would a Colombian citizen with Canadian residency need a transit visa for the UK?	Will I Need a Transit visa or ESTA for the US as a Canadian?	question-question	1.0
Is it possible to replace a switch with a receptacle?	Is it safe to replace a switch with a dimmer on halogen spots?	question-question	1.0
What is the best way to store fresh berries?	What is the best way to store chopped vegetables?	question-question	1.0
What is the best way to store fresh berries?	What is the best way to store carrots?	question-question	1.0
How long does cooked TVP keep in the fridge?	How long will uncooked chicken keep in the fridge?	question-question	1.0
How do I remove paint from a wood floor?	How do I remove paint from pipes?	question-question	1.0
How can I remove a really stuck screw?	How can I remove paint from slotted screw heads?	question-question	1.0
How do I reconnect a ceiling fan light chain?	How do I wire a replacement ceiling fan?	question-question	1.0
How should I store eggs in the refrigerator?	How long can I store cooked rice in the refrigerator?	question-question	1.0
What's the best way to store potatoes and maximize their shelf-life?	What's the best way to store asparagus?	question-question	1.0
How do I teach my toddler to chew his food?	How do you teach a toddler not to share?	question-question	1.0
How can I replace a ceiling fan light pull chain?	How can I replace a ceiling fan with a regular light fixture?	question-question	1.0
How can I repair my two sloping concrete slabs?	How can I repair my floors' finish?	question-question	1.0
Where can I find a good vocabulary list?	Where can I find a good online thesaurus?	question-question	1.0
How can I repair my floors' finish?	How can I repair a leaking shower?	question-question	1.0
How do I secure an old aluminum/glass sliding door?	How do I measure a standard sliding glass door?	question-question	1.0
How can I stop this Shower faucet leak?	How do I remove this shower fixture?	question-question	1.0
How do I remove paint from a wood floor?	How do I remove paint from a porous table top?	question-question	1.0
Which part of the GRE is more important to admissions committees?	Why do admissions committees consider the Statement of Purpose to be important?	question-question	1.0
Is there a way to find out if I need a transit visa for a layover in the UK?	I have a Layover in Japan, Going to stayfor a month, Do I need a Transit Visa?	question-question	1.0
How long does cooked TVP keep in the fridge?	How long does uncooked meat last when kept in the freezer?	question-question	1.0
Is it appropriate to call a professor for a recommendation on the weekend?	Is it appropriate to send a gift to a professor for an online course?	question-question	1.0
How can I work out how valuable I am to my boss and company?	How to tell my company that I am having issues with my boss?	question-question	1.0
Why do you need to peel peaches to can them?	How to peel peaches?	question-question	1.0
How do I increase the height of a sliding glass door lock?	How do I measure a standard sliding glass door?	question-question	1.0
"What does it mean by a ""research university""?"	"What does ""university ranking"" mean for a graduate admissions committee?"	question-question	1.0
How do I clean a very dirty refrigerator?	How do I clean a Hammerite paint brush?	question-question	1.0
How do I wire a bathroom exhaust fan/light to two switches?	How do I wire a combo with two supplies?	question-question	1.0
How should I cite a screenshot in APA style for my student paper?	How should I cite StackOverflow questions in my term paper?	question-question	1.0
How do you teach a toddler not to share?	How do you get a child to eat?	question-question	1.0
Why doesn't my cat lick me?	Why doesn't my cat like being held?	question-question	1.0
How do I repair this broken pipe?	How do I level a pipe with the ground?	question-question	1.0
What type of lag bolts should I use for a deck?	What type of screws should I use?	question-question	1.0
How do I paint art onto a wall?	How do I make this paint match?	question-question	1.0
What's the best way to introduce a chinchilla to a household with cats?	What is the best way to introduce cats to newborns?	question-question	1.0
What is the best way to store fresh berries?	What is the best way to store ground coffee?	question-question	1.0
What does it mean to write a song in a certain key?	Is it possible to write a song without a key?	question-question	1.0
How long should I wait between grout application and sealant?	How long should I wait for plaster to dry/cure between coats?	question-question	1.0
How long can you keep chocolate in the freezer?	How long can I keep bread dough in the refrigerator?	question-question	1.0
How do I prepare this porous interior wall for paint?	How do I install a new interior partition wall?	question-question	1.0
How do I prepare this porous interior wall for paint?	How do I make this paint match?	question-question	1.0
What is the best way to repair a cracked bathtub?	What is the best way to fix this garage floor?	question-question	0.0
What's the best way to store asparagus?	What's the best way to store unused sushi rice?	question-question	0.0
What kind of socket is this?	What type of faucet is this?	question-question	0.0
What is the difference between a stock and a bond?	What is the difference between a mode and a scale?	question-question	0.0
What is the best way to toast pecans?	What is the best way to introduce cats to newborns?	question-question	0.0
What is the best way to repair a cracked bathtub?	What is the best way to clean a grater?	question-question	0.0
What is the best way to store fresh berries?	What is the best way to cite an anonymous writer?	question-question	0.0
Where can I find a good vocabulary list?	Where can I find a complete list of Freddie Green chords?	question-question	0.0
What is the difference between assertive and non-assertive words?	What is the difference between portamento and glissando?	question-question	0.0
What if I don't have enough work sample for an interview?	What should I do if I have an idea but can't work on it immediately?	question-question	0.0
What is the best way to store fresh berries?	What is the best way to filter the Turkish coffee?	question-question	0.0
What is the best way to clean your clothes dryer exhaust?	What is the best way to clean a grater?	question-question	0.0
What is the best way to treat feline ringworm?	What is the best way to clean a grater?	question-question	0.0
What's the best way to seal around this faucet?	What's the best way to store asparagus?	question-question	0.0
What is the difference between a stock and a bond?	What is the difference between a riff and a lick?	question-question	0.0
What is the difference between shawarma and gyros?	what is the difference between Erebor and Moria?	question-question	0.0
What is the best way to apply Shellac-based primer?	What is the best way to clean a grater?	question-question	0.0
What's the best way to store asparagus?	What's the best way to keep my garage from freezing?	question-question	0.0
What is the difference between a filler word and a discourse marker?	What is the difference between a copula and a transitive verb?	question-question	0.0
What is this vocal technique called?	What is this stucco-like finish called?	question-question	0.0
What kind of socket is this?	What kind of bug is this?	question-question	0.0
What is the best way to toast pecans?	What is the best way to start learning a new course?	question-question	0.0
What is the actual difference between Graduate and Undergraduate texts?	What is the difference between portamento and glissando?	question-question	0.0
What is the difference between EFTA and the EU?	what is the difference between Erebor and Moria?	question-question	0.0
What is the best way to store fresh berries?	What is the best way to fix this garage floor?	question-question	0.0
What is the difference between a stock and a bond?	What is the difference between chicken cubes and ground chicken?	question-question	0.0
What is the best way to toast pecans?	What's the best way to store asparagus?	question-question	0.0
What kind of socket is this?	What type of asbestos is this?	question-question	0.0
"What does the term ""Out of the Furnace"" refer to?"	"What does the ""to"" mean in the General Welfare Clause?"	question-question	0.0
"What was the meaning of ""21 grams""?"	"What is the meaning of ""$N industry""?"	question-question	0.0
What is the difference between shawarma and gyros?	What is the difference between portamento and glissando?	question-question	0.0
What is the significance of the cat?	What is the significance of the artwork?	question-question	0.0
What kind of spider web is this - and how do I get rid of it?	What kind of board is this, and where can I get some?	question-question	0.0
What's the best way to store potatoes and maximize their shelf-life?	What is the best way to store fresh berries?	question-question	0.0
What is the difference between a stock and a bond?	What is the difference between a tortoise and a turtle?	question-question	0.0
What is the difference between mono and stereo?	What is the difference between balls in Test and ODI Cricket?	question-question	0.0
What is the best way to store my sleeping bag for long periods of time?	What's the best way to store asparagus?	question-question	0.0
To explain further vector space models, basically a document is characterized by a vector.	A document is represented as a vector.	plagiarism	5.0
The differing application has a direct influence on what the definition of the term means.	The way that a 'term' is defined depends on the application.	plagiarism	5.0
"Thus, the ""program"" is the optimal plan of action that is being produced."	"Thus, the ""program"" is the optimal plan for action that is produced."	plagiarism	5.0
"Thus, the ""program"" is the optimal plan for action that is produced."	"Therefore, the ""program"" is the optimal plan for action that is produced."	plagiarism	5.0
P(B) (a.k.a. the normalizing constant) is the prior or marginal probability of B.	P(B) is the prior or marginal probability of B, and acts as a normalizing constant.	plagiarism	5.0
In general, we can solve a problem with optimal substructure using a three-step process: 1.	In a word, we can solve a problem with optimal substructure using a three-step process.	plagiarism	5.0
One of its uses is calculating posterior probabilities given observations.	It is usually used to calculate posterior probabilities given observations.	plagiarism	5.0
The way that a 'term' is defined depends on the application.	The definition of term is dependent on the application.	plagiarism	5.0
Its first application was in the SMART Information Retrieval System.	It was used in the first time in the SMART Information Retrieval System.	plagiarism	5.0
Thus, the program is the best plan for action that is produced.	"Thus, the ""program"" is the optimal plan of action that is being produced."	plagiarism	5.0
It is usually used to calculate posterior probabilities given observations.	It is usually be used to compute posterior probabilities given observations.	plagiarism	5.0
The methodology takes much less time rather than naive methods.	The method takes much less time than naive methods.	plagiarism	5.0
The methodology takes much less time rather than naive methods.	This is a much quicker method than other more naive methods.	plagiarism	5.0
The definition of term is dependent on the application.	The definition of term depends on the application.	plagiarism	5.0
Whilst Bayesians describe probabilities in terms of beliefs and degrees of uncertainty.	At the same time, Bayesians describe probabilities in terms of beliefs and degrees of uncertainty.	plagiarism	5.0
It is used in information filtering, information retrieval, indexing and relevancy rankings.	It is used in information filtering, indexing, relevancy rankings and information retrieval.	plagiarism	5.0
Several different ways of computing these values, also known as (term) weights, have been developed.	Several different ways of computing these values, additionally known as (term) weights, have been developed.	plagiarism	5.0
If a term exists in a document, its value in the vector is not equal to zero.	If a term appears in the document then its value in the vector is non-zero.	plagiarism	5.0
A hyperlink to a page counts as a vote of support.	A link to a page is seen as a vote of support.	plagiarism	5.0
For instance, a finalized schedule of events at an exhibition is sometimes called a program.	For example, a schedule of events at an exhibition is sometimes called a programme.	plagiarism	5.0
Nevertheless, the patent is assigned to the University of Stanford and not to Google.	However, the patent is assigned to Stanford University and not to Google.	plagiarism	5.0
The definition of term depends on the application.	The definition of a term depends on the application.	plagiarism	5.0
Inheritance is a method of forming new classes using predefined classes.	Inheritance in object oriented programming is a way to form new classes using classes that have already been defined.	plagiarism	5.0
Thus, the program is the best plan for action that is produced.	"Thus, the ""program"" is the optimal plan for action that is produced."	plagiarism	5.0
"Therefore, the ""program"" is the optimal plan for action that is produced."	"The ""program"" is the optimal plan for action that is produced."	plagiarism	5.0
If a term appears in the document, the terms value in the vector is non-zero.	A term which occurs in the document has a value in the vector of non-zero.	plagiarism	5.0
The vector space model has some limitations: 1.	LIMITATION: There is some limitation of vector space model.	plagiarism	5.0
The vector space model has the following limitations: 1.	The vector space model has some limitations: 1.	plagiarism	5.0
Typically terms are single words, keywords, or longer phrases.	Typically terms are keywords, single words or longer phrases.	plagiarism	5.0
It does not take into account any information about B and therefore is considered “prior”.	"It doesn't take into account any information about B, so it is ""prior""."	plagiarism	5.0
A document is represented as a vector and each dimension corresponds to a separate term.	When a document is represented as a vector, each dimension corresponds to a separate term.	plagiarism	5.0
Since it is a formal theorem, Bayes' theorem holds in all popular interpretations of probability.	As a formal theorem, Bayes' theorem is valid in all common interpretations of probability.	plagiarism	5.0
The methodology takes much less time rather than naive methods.	The method is more effiecent than naive methods.	plagiarism	5.0
Typically terms are keywords, single words or longer phrases.	Single words, keywords and occasionally longer phrases are used for terms.	plagiarism	5.0
Construct an optimal solution from computed values.	Generate the optimal solution of these computed values	plagiarism	5.0
Several different ways of computing these values, additionally known as (term) weights, have been developed.	Several different ways have been developed of calculating these values (also known as term weights).	plagiarism	5.0
In general, dynamic programming is used on optimisation problems, where the most efficient solution is needed.	However, the key in Dynamic Programming is to determine the structure of optimal solutions.	plagiarism	5.0
One of the best known schemes is tf-idf weighting (see the example below).	One of the best known methods is called tf-idf weighting.	plagiarism	4.0
For instance, a events schedule at an exhibition is sometimes called a program.	For instance, a finalized schedule of events at an exhibition is sometimes called a program.	plagiarism	4.0
Define value of optimal solution recursively.	Characterise structure of an optimal solution.	plagiarism	4.0
It was first used in the SMART Information Retrieval System.	It is used in information retrieval and was first used in the SMART Information Retrieval System.	plagiarism	4.0
The value of a vector is non-zero if a term occurs in the document.	A term which occurs in the document has a value in the vector of non-zero.	plagiarism	4.0
Several different ways of computing these values, also known as (term) weights, have been developed.	Other ways of computing these values, or weights, have been developed.	plagiarism	4.0
Several different ways of computing these values, also known as (term) weights, have been developed.	Many different ways of calculating these values, also known as (term) weights, have been developed.	plagiarism	4.0
These subproblems are not, however, independent.	It is similar to divide and conquer, however is differentiated as its subproblems are not independent.	plagiarism	4.0
The key to Dynamic Programming is to find the structure of optimal solutions.	In general, dynamic programming is used on optimisation problems, where the most efficient solution is needed.	plagiarism	4.0
Bayes Theorem is a mathematical formula used to calculate conditional probabilities.	Bayes' theorem relates the conditional and marginal probabilities of two random events.	plagiarism	4.0
Construct an optimal solution from computed values.	Define value of optimal solution recursively.	plagiarism	4.0
The theorem is often used when we have observations and wish to compute posterior probabilities.	It is often used to calculate posterior probabilities given observations.	plagiarism	4.0
P(B) is the prior or marginal probability of B, and acts to normalise the probability.	P(B) (a.k.a. the normalizing constant) is the prior or marginal probability of B.	plagiarism	4.0
In probability theory, Bayes' theorem relates the conditional and marginal probabilities of two random events.	Bayes' theorem relates the conditional and marginal probabilities of two random events.	plagiarism	4.0
Programming, in this sense, means finding an acceptable plan of action.	Programming, in this sense, means finding an acceptable plan, an algorithm.	plagiarism	4.0
The vector space model has some limitations: 1.	The vector space model has several disadvantages.	plagiarism	4.0
Using the vector space model for Information Retrieval models all pages and queries as high-dimensional sparse vectors.	A possible use for a vector space model is for retrieval and filtering of information.	plagiarism	4.0
One of the most famous schemes is tf-idf weighting.	One of the best known schemes is tf-idf (term frequency-inverse document frequency) weighting.	plagiarism	4.0
Vector space representation results in the loss of the order which the terms are in the document.	The order in which terms appear in the document is lost in a vector space representation.	plagiarism	4.0
Other ways of computing these values, or weights, have been developed.	Many different methods of calculating these values, sometimes known as (term) weights, have been developed.	plagiarism	4.0
It is usually be used to compute posterior probabilities given observations.	It is used to compute posterior probabilities given observations.	plagiarism	4.0
In computer science; dynamic programming is a way of solving problems consist of overlapping subproblems and optimal substructure.	Dynamic Programming is a very powerful mathematical technique, often utilised in programming, for solving optimization problems.	plagiarism	4.0
The most popular is tf-idf weighting.	One of the most famous schemes is tf-idf weighting.	plagiarism	4.0
Construct an optimal solution from computed values.	The last point would be to construct an optimal solution from the computed values.	plagiarism	4.0
This is a much quicker method than other more naive methods.	The method takes much less time than naive methods.	plagiarism	4.0
Inheritance in object oriented programming is a way to form new classes using classes that have already been defined.	inheritance in object oriented programming is where a new class is formed using classes which have allready been defined.	plagiarism	4.0
However, the vector space model has limitations.	The limitations of the vector space model are thus.	plagiarism	4.0
Programming, in this sense, means finding an acceptable plan of action.	Programming means finding a plan of action.	plagiarism	4.0
Dynamic Programming solves problems by combining the solutions of subproblems.	The key to Dynamic Programming is to find the structure of optimal solutions.	plagiarism	4.0
Subclasses are said to extend or specialise their superclasses.	Subclasses are said to ‘extend’ superclasses.	plagiarism	4.0
It is often used to compute posterior probabilities given observations.	The theorem is often used when we have observations and wish to compute posterior probabilities.	plagiarism	4.0
Every dimension is precisely related to a separate term.	Each and every dimension corresponds to a separate term.	plagiarism	4.0
Construct an optimal solution from computed values.	Use these optimal solutions to construct an optimal solution for the original problem.	plagiarism	4.0
Every dimension is precisely related to a separate term.	A document is represented as a vector, with each dimension corresponding to a separate term.	plagiarism	4.0
The most popular is tf-idf weighting.	One of the best known schemes is tf-idf (term frequency-inverse document frequency) weighting.	plagiarism	4.0
The theorem is often used when we have observations and wish to compute posterior probabilities.	It is usually be used to compute posterior probabilities given observations.	plagiarism	4.0
Overlapping subproblems means that the same subproblems are used to solve many different larger problems.	A problem with overlapping subproblems means that the same subproblems may be used to solve many different larger problems.	plagiarism	4.0
The differing application has a direct influence on what the definition of the term means.	The definition of term is dependent on the application.	plagiarism	4.0
The method takes much less time than naive methods.	And thus the method takes much less time than more naive methods.	plagiarism	4.0
In probability theory, Bayes' theorem relates the conditional and marginal probabilities of two random events.	In probability theory, the prior and conditional probabilities of two random events are related by Bayes' theorem.	plagiarism	4.0
Bayes’ theorem was names after Rev Thomas Bayes and is a method used in probability theory.	As an official theorem, Bayes' theorem is valid in all universal interpretations of probability.	plagiarism	3.0
• P(A|B) is the conditional probability of A, given B.	• P(B|A) is the conditional probability of B given A.	plagiarism	3.0
"It is ""previous"" in the sense that it does not take into account any information about B."	It does not take into account any information about B and therefore is considered “prior”.	plagiarism	3.0
When a document is represented as a vector, each dimension corresponds to a separate term.	Each dimensions corresponds to a separate terms.	plagiarism	3.0
The theorem is often used when we have observations and wish to compute posterior probabilities.	It is usually used to calculate posterior probabilities given observations.	plagiarism	3.0
When a document is represented as a vector, each dimension corresponds to a separate term.	Each dimension corresponds to a separate term.	plagiarism	3.0
In computer science; dynamic programming is a way of solving problems consist of overlapping subproblems and optimal substructure.	However, the key in Dynamic Programming is to determine the structure of optimal solutions.	plagiarism	3.0
