sent1	sent2	theme	score
Must I enter Europe with Schengen visa from the country where I applied?	If I have Schengen visa, can I enter Schengen area from different country?	question-question	4.0
What could be causing my toilet to back up?	What could be causing my bathroom drains to back up?	question-question	4.0
Why is my dryer taking longer to dry clothes?	Why does it take my dryer 3 hours to dry a load of clothes?	question-question	4.0
What are some good strength exercises for marathon runners?	What are some good strength training routines for runners?	question-question	4.0
Which way does the air flow through my furnace?	Which way does air flow into a furnace?	question-question	4.0
Why is my washing machine making this sound?	What is this sound from my washing machine?	question-question	4.0
How do I convert a ceiling fan with 2 separate wall switches to a separate fan & light switch?	How can I add a new light fixture off of a ceiling fan wired to two switches?	question-question	4.0
How can I repair a towel bar with one end ripped out of the wall?	How can I repair a towel rack that was ripped out of the wall?	question-question	4.0
How can I remove a really stuck screw?	How can I remove a stuck screw that will still turn?	question-question	4.0
What are refereed and non-refereed journals?	What are the differences between Peer Reviewed Journals and Refereed Journals?	question-question	4.0
How can I prepare this old exterior wall for painting?	How do I prepare this exterior concrete wall for paint?	question-question	4.0
What can I do to fix store-bought mayonnaise that split?	How do I make mayonnaise split?	question-question	4.0
Should I negotiate if I'm offered more than what I initially asked for?	I was offered the minimum salary I requested, should I ask for more?	question-question	4.0
What does this tablature notation mean?	What does this notation mean?	question-question	4.0
Why isn't the switch working to turn off my ceiling lamp after I replaced a fan w/light?	Why does my ceiling fan turn off when I turn on the lights?	question-question	4.0
How to make good coffee in a Moka pot?	How to make more than one good cup of coffee with a moka pot?	question-question	4.0
What could be causing my GFCI to trip?	What could be causing my GFCI outlet to trip?	question-question	4.0
What could be wrong with my furnace?	What is wrong with my gas furnace?	question-question	4.0
How can I connect additional wires to a receptacle?	How do I connect the wires to this USB receptacle?	question-question	3.0
How can I prepare this old exterior wall for painting?	How do I prepare this porous interior wall for paint?	question-question	3.0
Why is there no water in the kitchen?	Why is there no hot water in the kitchen?	question-question	3.0
What more can I do to improve my credit score?	Can I pay a collection agency in a way that will improve my credit score?	question-question	3.0
Bar ware - What kind of glass is this?	What kind of glass is this?	question-question	3.0
Do I really need a redundant sump pump?	Do I need to install a sump pump?	question-question	3.0
How can I work out how valuable I am to my boss and company?	How can I convince my boss I am the right person to lead a future team?	question-question	3.0
Do I need to apply for ESTA?	Flying from California to Texas: do I need ESTA?	question-question	3.0
Should I let potential employers know I have a job offer?	Should I tell my boss I have a full time job offer?	question-question	3.0
How do I repair water-damaged hardwood floors?	How can I repair my floors' finish?	question-question	3.0
Glue underlayment to concrete: how long does it take to cure?	How long should it take concrete to fully cure?	question-question	3.0
Is it better to request a recommendation letter in person after class or by email?	Is it appropriate to ask a professor via e-mail for a letter of recommendation?	question-question	3.0
I have a Schengen visa but my UAE Residence visa cancelled. Can I still travel then?	Can I travel to the UK if my Schengen visa expired?	question-question	3.0
How do I remove paint from a wood floor?	How can I remove paint from a deck?	question-question	3.0
How to apply for a Schengen visa?	How should I apply for a Schengen visa from the UK?	question-question	3.0
Why is my furnace blowing hot air outside through a PVC pipe?	Why is my furnace blowing hot air outside?	question-question	3.0
Do I need to replace my hot water tank's pressure release valve?	Do I need to replace this water pressure valve?	question-question	3.0
How can I stop my cat's playful yet aggressive behavior?	Is my cat's aggressive behavior playful or mean, and how do I stop it?	question-question	3.0
Which reward / benefits credit card is the best value for the money in Canada?	Which reward/benefits card is the best value for money in Australia?	question-question	3.0
What is this vocal technique called?	What is this technique called?	question-question	3.0
What is the significance of the cat?	What is the significance of the missing elevator car?	question-question	3.0
How long is the life of a shot of espresso?	What is the optimal length of time for pulling a shot of espresso?	question-question	3.0
How can I get rid of fleas?	How can I get rid of fleas in my crawlspace forever?	question-question	3.0
Should I switch to third person or continue in first person?	Should I write my biography in the first or third person?	question-question	3.0
How can I tell whether a mathematics journal seems reputable?	How can I tell if a journal is reputable?	question-question	3.0
How can I stop my pie from burning?	How can I safely re-heat a chicken pie without burning the crust?	question-question	3.0
How do I replace a broken halogen bulb in the recessed light in my bathroom?	How to replace recessed halogen light from an eyeball fixture?	question-question	3.0
Is it acceptable as referee to contact an author on a paper you review?	Is it appropriate as a referee to contact an author after the editor rejected the manuscript?	question-question	3.0
What is a good solo to learn in the Dorian mode?	What is a good guitar solo to learn in the minor scale?	question-question	3.0
How can I get rid of fleas?	How do I get rid of fleas on my rabbit?	question-question	3.0
How can I add a GFCI receptacle on a circuit with split receptacles?	How can I add a GFCI breaker on two circuits with a shared neutral without rewiring?	question-question	3.0
How does Paying credit card in full VS paying with interest will affect your credit score?	Will paying off a credit card early affect my credit score?	question-question	3.0
Should I contact a PhD student or his supervisor for potential collaboration?	How should a PhD student approach a collaboration?	question-question	3.0
How can I replace a ceiling fan light pull chain?	How can I replace my light fixture with a ceiling fan?	question-question	2.0
How do I maintain a good relationship with my old boss after being promoted?	How do I maintain a good relationship with an employer after resigning?	question-question	2.0
Can I ask a company what I should wear to an interview?	What should I ask as an applicant in a job interview?	question-question	2.0
U.S. income tax & charitable donations: How much is income tax reduced by donations?	UK income tax & charitable donations: How much is income tax reduced by donations?	question-question	2.0
Can I connect two load lines to a GFCI receptacle?	How can I connect additional wires to a receptacle?	question-question	2.0
How do I replace a broken halogen bulb in the recessed light in my bathroom?	How can I replace the bulb in this ceiling fan?	question-question	2.0
How should I patch a popcorn ceiling?	Should I replace or patch a plaster ceiling?	question-question	2.0
What do I do if a professor at a foreign university doesn't respond to my emails?	What should I do if a professor says she doesn't understand my questions in office hours?	question-question	2.0
How can I keep my dog from barking when I don't know what he's barking at?	How do I stop my dog from barking at people through the fence?	question-question	2.0
Travelling to Romania for 4 days by Schengen visa issued by Germany?	Travelling to Romania on a short stay Schengen visa issued by France?	question-question	2.0
What is the professional way to follow up with a manager for project opportunity?	What is the professional way to deal with my manager's boss?	question-question	2.0
Why is compensation so much higher in the US than in Western Europe on average?	Why is interest on MMA lower in the US than in Europe?	question-question	2.0
What is the significance of the cat?	What is the significance of the abstract painting?	question-question	2.0
What could be causing water pressure to build up after changing my under sink filter?	What could be causing water to back up into my bathroom basin?	question-question	2.0
What can I eat the night before to help me get up in the morning?	What trigger do you use to get up early in the morning?	question-question	2.0
How do I convert a ceiling fan with 2 separate wall switches to a separate fan & light switch?	How do I wire 2 switches to control a ceiling light?	question-question	2.0
After a job interview, is it inappropriate if I want to talk to an employee in private?	When (if ever) in the interview process is it appropriate to recommend a colleague?	question-question	2.0
How do you remove paint from hair?	How do I remove paint from pipes?	question-question	2.0
Is my U.S. driver's license valid in Europe?	Is Greek driver's license valid in the US?	question-question	2.0
Is it safe to leave butter at room temperature?	How do I know if food left at room temperature is still safe to eat?	question-question	2.0
How do I remove paint from a wood floor?	How do I remove a thick layer of paint from tiles?	question-question	2.0
What causes these chips in a cement brick wall, and how can I fix them?	What are these holes in my concrete wall and how can I mount things to them?	question-question	2.0
What could be causing my toilet to back up?	What could be causing water to back up into my bathroom basin?	question-question	2.0
How to bake a chicken?	How to truss a chicken?	question-question	2.0
What kind of spider web is this - and how do I get rid of it?	What are these bugs and how do I get rid of them?	question-question	2.0
What goes in a student success statement for a faculty application?	What is a good length for the statement of purpose in a U.S. PhD application?	question-question	2.0
How do I make soft chapattis?	How to make chapattis round and of same thickness?	question-question	2.0
How should you respond to your teacher who cannot help you with a recommendation?	How should you deal with a teacher who is difficult to understand?	question-question	2.0
What should I do with my credit card debt?	What should my credit limit be?	question-question	2.0
What's the best way to run a wire from inside my garage to the outside?	What's the best/easiest way to install and wire a wall light?	question-question	2.0
How do I stop my dog from jumping on me?	How do I stop my dog from barking when I bring him outside?	question-question	2.0
Should I tell prospective employer that I got a raise at my current job?	How do I bring up that I got a better job offer to my new current employer?	question-question	2.0
How to judge the quality of my own paper?	How can I assess the quality of a paper outside my field?	question-question	2.0
Is it a bad writing practice to start sentences with a verb?	Paper Title, Is it better to start with a verb?	question-question	2.0
Schengen visa for UK citizen?	How to apply for a Schengen visa?	question-question	2.0
What can I eat the night before to help me get up in the morning?	What foods can I eat to keep my energy up in an office job in the afternoon?	question-question	2.0
What could be wrong with my furnace?	What could be wrong with my air conditioner?	question-question	2.0
How do you teach a toddler not to share?	How do you teach a child religious views?	question-question	2.0
What is the best way to learn finger-picking on an acoustic guitar?	What is the best way to learn to play a piece on the guitar?	question-question	2.0
How do I troubleshoot my electric oven?	How do I troubleshoot an electric furnace?	question-question	2.0
How to apply for a Schengen visa?	Is it possible to get a Schengen visa for future date?	question-question	2.0
How can I be sure my water softener is working?	How can I determine what is in my water?	question-question	2.0
How do I cap a T junction on a roof ridge?	How do I finish a ridge cap?	question-question	2.0
How do I stop my dog from jumping on me?	How do I stop my dog from barking at people through the fence?	question-question	2.0
How to make a strong mug of filter coffee without any Coffee machine?	How to make a strong mug of instant Coffee?	question-question	2.0
What are the types of Guitar available and what are the pros and cons of each?	What are the advantages and disadvantages of various methods of supporting the classical guitar?	question-question	2.0
How do I fix a hole/gap between my shower tile and the dry wall next to it?	How do I patch a gap between my bathtub and wall?	question-question	2.0
What is a good solo to learn in the Dorian mode?	What is a good solo to learn in the major scale?	question-question	2.0
How do I remove paint from a wood floor?	How to remove milk smell from hardwood floor?	question-question	2.0
Would a Colombian citizen with Canadian residency need a transit visa for the UK?	Will I Need a Transit visa or ESTA for the US as a Canadian?	question-question	1.0
Is it possible to replace a switch with a receptacle?	Is it safe to replace a switch with a dimmer on halogen spots?	question-question	1.0
What is the best way to store fresh berries?	What is the best way to store chopped vegetables?	question-question	1.0
What is the best way to store fresh berries?	What is the best way to store carrots?	question-question	1.0
How long does cooked TVP keep in the fridge?	How long will uncooked chicken keep in the fridge?	question-question	1.0
How do I remove paint from a wood floor?	How do I remove paint from pipes?	question-question	1.0
How can I remove a really stuck screw?	How can I remove paint from slotted screw heads?	question-question	1.0
How do I reconnect a ceiling fan light chain?	How do I wire a replacement ceiling fan?	question-question	1.0
How should I store eggs in the refrigerator?	How long can I store cooked rice in the refrigerator?	question-question	1.0
What's the best way to store potatoes and maximize their shelf-life?	What's the best way to store asparagus?	question-question	1.0
How do I teach my toddler to chew his food?	How do you teach a toddler not to share?	question-question	1.0
How can I replace a ceiling fan light pull chain?	How can I replace a ceiling fan with a regular light fixture?	question-question	1.0
How can I repair my two sloping concrete slabs?	How can I repair my floors' finish?	question-question	1.0
Where can I find a good vocabulary list?	Where can I find a good online thesaurus?	question-question	1.0
How can I repair my floors' finish?	How can I repair a leaking shower?	question-question	1.0
How do I secure an old aluminum/glass sliding door?	How do I measure a standard sliding glass door?	question-question	1.0
How can I stop this Shower faucet leak?	How do I remove this shower fixture?	question-question	1.0
How do I remove paint from a wood floor?	How do I remove paint from a porous table top?	question-question	1.0
Which part of the GRE is more important to admissions committees?	Why do admissions committees consider the Statement of Purpose to be important?	question-question	1.0
Is there a way to find out if I need a transit visa for a layover in the UK?	I have a Layover in Japan, Going to stayfor a month, Do I need a Transit Visa?	question-question	1.0
How long does cooked TVP keep in the fridge?	How long does uncooked meat last when kept in the freezer?	question-question	1.0
Is it appropriate to call a professor for a recommendation on the weekend?	Is it appropriate to send a gift to a professor for an online course?	question-question	1.0
How can I work out how valuable I am to my boss and company?	How to tell my company that I am having issues with my boss?	question-question	1.0
Why do you need to peel peaches to can them?	How to peel peaches?	question-question	1.0
How do I increase the height of a sliding glass door lock?	How do I measure a standard sliding glass door?	question-question	1.0
"What does it mean by a ""research university""?"	"What does ""university ranking"" mean for a graduate admissions committee?"	question-question	1.0
How do I clean a very dirty refrigerator?	How do I clean a Hammerite paint brush?	question-question	1.0
How do I wire a bathroom exhaust fan/light to two switches?	How do I wire a combo with two supplies?	question-question	1.0
How should I cite a screenshot in APA style for my student paper?	How should I cite StackOverflow questions in my term paper?	question-question	1.0
How do you teach a toddler not to share?	How do you get a child to eat?	question-question	1.0
Why doesn't my cat lick me?	Why doesn't my cat like being held?	question-question	1.0
How do I repair this broken pipe?	How do I level a pipe with the ground?	question-question	1.0
What type of lag bolts should I use for a deck?	What type of screws should I use?	question-question	1.0
How do I paint art onto a wall?	How do I make this paint match?	question-question	1.0
What's the best way to introduce a chinchilla to a household with cats?	What is the best way to introduce cats to newborns?	question-question	1.0
What is the best way to store fresh berries?	What is the best way to store ground coffee?	question-question	1.0
What does it mean to write a song in a certain key?	Is it possible to write a song without a key?	question-question	1.0
How long should I wait between grout application and sealant?	How long should I wait for plaster to dry/cure between coats?	question-question	1.0
How long can you keep chocolate in the freezer?	How long can I keep bread dough in the refrigerator?	question-question	1.0
How do I prepare this porous interior wall for paint?	How do I install a new interior partition wall?	question-question	1.0
How do I prepare this porous interior wall for paint?	How do I make this paint match?	question-question	1.0
What is the best way to repair a cracked bathtub?	What is the best way to fix this garage floor?	question-question	0.0
What's the best way to store asparagus?	What's the best way to store unused sushi rice?	question-question	0.0
What kind of socket is this?	What type of faucet is this?	question-question	0.0
What is the difference between a stock and a bond?	What is the difference between a mode and a scale?	question-question	0.0
What is the best way to toast pecans?	What is the best way to introduce cats to newborns?	question-question	0.0
What is the best way to repair a cracked bathtub?	What is the best way to clean a grater?	question-question	0.0
What is the best way to store fresh berries?	What is the best way to cite an anonymous writer?	question-question	0.0
Where can I find a good vocabulary list?	Where can I find a complete list of Freddie Green chords?	question-question	0.0
What is the difference between assertive and non-assertive words?	What is the difference between portamento and glissando?	question-question	0.0
What if I don't have enough work sample for an interview?	What should I do if I have an idea but can't work on it immediately?	question-question	0.0
What is the best way to store fresh berries?	What is the best way to filter the Turkish coffee?	question-question	0.0
What is the best way to clean your clothes dryer exhaust?	What is the best way to clean a grater?	question-question	0.0
What is the best way to treat feline ringworm?	What is the best way to clean a grater?	question-question	0.0
What's the best way to seal around this faucet?	What's the best way to store asparagus?	question-question	0.0
What is the difference between a stock and a bond?	What is the difference between a riff and a lick?	question-question	0.0
What is the difference between shawarma and gyros?	what is the difference between Erebor and Moria?	question-question	0.0
What is the best way to apply Shellac-based primer?	What is the best way to clean a grater?	question-question	0.0
What's the best way to store asparagus?	What's the best way to keep my garage from freezing?	question-question	0.0
What is the difference between a filler word and a discourse marker?	What is the difference between a copula and a transitive verb?	question-question	0.0
What is this vocal technique called?	What is this stucco-like finish called?	question-question	0.0
What kind of socket is this?	What kind of bug is this?	question-question	0.0
What is the best way to toast pecans?	What is the best way to start learning a new course?	question-question	0.0
What is the actual difference between Graduate and Undergraduate texts?	What is the difference between portamento and glissando?	question-question	0.0
What is the difference between EFTA and the EU?	what is the difference between Erebor and Moria?	question-question	0.0
What is the best way to store fresh berries?	What is the best way to fix this garage floor?	question-question	0.0
What is the difference between a stock and a bond?	What is the difference between chicken cubes and ground chicken?	question-question	0.0
What is the best way to toast pecans?	What's the best way to store asparagus?	question-question	0.0
What kind of socket is this?	What type of asbestos is this?	question-question	0.0
"What does the term ""Out of the Furnace"" refer to?"	"What does the ""to"" mean in the General Welfare Clause?"	question-question	0.0
"What was the meaning of ""21 grams""?"	"What is the meaning of ""$N industry""?"	question-question	0.0
What is the difference between shawarma and gyros?	What is the difference between portamento and glissando?	question-question	0.0
What is the significance of the cat?	What is the significance of the artwork?	question-question	0.0
What kind of spider web is this - and how do I get rid of it?	What kind of board is this, and where can I get some?	question-question	0.0
What's the best way to store potatoes and maximize their shelf-life?	What is the best way to store fresh berries?	question-question	0.0
What is the difference between a stock and a bond?	What is the difference between a tortoise and a turtle?	question-question	0.0
What is the difference between mono and stereo?	What is the difference between balls in Test and ODI Cricket?	question-question	0.0
What is the best way to store my sleeping bag for long periods of time?	What's the best way to store asparagus?	question-question	0.0
Should I drink water during my workout?	How can I get my toddler to drink more water?	question-question	
"How can I put something in book format without ""publishing"" it?"	"How can I ""time-stamp"" my data without publishing it?"	question-question	
How do I stop my dog from jumping on me?	How do I make my dog forget a command?	question-question	
What's the best way to store asparagus?	What's the correct way to store fats?	question-question	
What is the best time and temperature for taste when cooking a salmon fillet in the oven?	What is the best oil to use when cooking in a wok?	question-question	
What should I look for in a jump rope?	What should I look for in a running shoe?	question-question	
Do I need a UK transit visa for flying to the Canary Islands?	Do I need a transit visa at Amsterdam to stay in airport?	question-question	
How do you remove paint from hair?	How can I remove paint from slotted screw heads?	question-question	
Would a Colombian citizen with Canadian residency need a transit visa for the UK?	Does a UK Citizen with a foreign passport need a Visa to enter the UK?	question-question	
How can I locate and repair a leak?	How can I locate and repair a break in a circuit?	question-question	
How can I get my dog to slow down when eating?	How can I get my dog get used to a new small environment?	question-question	
What does paying by invoice mean?	"What does it mean by a ""research university""?"	question-question	
How important is the pronunciation of a toddler's first words?	How important is a catchy first paragraph?	question-question	
How do I remove paint from a wood floor?	How can I remove a portion of a hardwood floor board?	question-question	
How to strengthen my wrists?	How to strengthen calf muscles?	question-question	
How to address a professor in letter?	How to cite a letter in an anthology?	question-question	
What olive is a good taste substitute for Kalamata?	What is a good substitute for ground veal?	question-question	
What does the scorpion represent in Drive?	What does the origami represent in Blade Runner?	question-question	
How to select a workout plan?	How to create a workout plan?	question-question	
How can I get my colleagues to stop interrupting me?	How do I motivate my colleagues?	question-question	
OK we're all nerds here, so really, how on earth should I use a Japanese toilet?	OK we are all adults here, so really, how on earth should I live without bidet?	question-question	
How do you remove paint from hair?	How do I remove paint from a wood floor?	question-question	
How does arbitration work in baseball?	How does velveting work?	question-question	
How can I use persimmons in a cooked dish?	How do I recognize if a dish cannot be cooked in a gas oven?	question-question	
If lost in the wilderness, what is the first thing I should do?	What is the most important survival tool I should have when in the wilderness?	question-question	
What is the PhD application process for Germany and Switzerland?	What is the process for PhD applications and contacting professors in France?	question-question	
How can I replace a ceiling fan light pull chain?	How can I replace a recessed light with a ceiling fan?	question-question	
How can I work out how valuable I am to my boss and company?	How can I explain to my boss that I am not able to complete a task?	question-question	
What is the best way to store fresh berries?	What is the best way to store homemade sauces?	question-question	
Do I need a UK transit visa when flying from Lebanon to Ireland?	Do I need a transit visa at Amsterdam to stay in airport?	question-question	
What is the best way to store fresh berries?	What's the best way to store asparagus?	question-question	
What can I do to make my writing fit the 1950s?	Can I do anything to make my gas oven better?	question-question	
How do I prepare a wall for backsplash tile?	How should I prepare a sub-floor for porcelain tile?	question-question	
Is there a way to find out if I need a transit visa for a layover in the UK?	Does one need to fill in a form for a Visa On Arrival?	question-question	
How do I wire a bathroom exhaust fan/light to two switches?	How do I install a bathroom exhaust system?	question-question	
"What does ""do."" mean in old recipes?"	"What does ""To book in house"" mean?"	question-question	
How can I stop my pie from burning?	How can I stop sweaty hands?	question-question	
How to build plastic prototype?	How to build disassemblable structure?	question-question	
Do I need a teacher to learn violin?	Do I need to write a bibliography?	question-question	
How to get funding for this idea?	How to get rid of this shed?	question-question	
How can I explain to my boss that I am not able to complete a task?	How to I make my dog understand that I want him to go to a certain spot?	question-question	
Is it possible to replace a switch with a receptacle?	Is it possible to replace a ceiling fan speed controller with a switch?	question-question	
How long can I safely keep a thawing pork shoulder in the fridge?	How long can I keep a leg of ham in the fridge?	question-question	
What is the correct way to secure a gas standalone range?	What is the correct way to read a gas meter?	question-question	
How can I manage applying for 2 more jobs when I already have a part time job?	How can I put my resume online when I already have a job?	question-question	
How do I make my dog forget a command?	How do I fix a door frame that my dog chewed?	question-question	
How much thinset is enough?	How much copying is okay?	question-question	
Do I need a UK transit visa when flying from Lebanon to Ireland?	Do I need a visa to transit India?	question-question	
How can I prevent my ferrets from smelling bad?	How can I prevent my ferrets from chewing on wires?	question-question	
Do I need to apply for a UK transit visa when I have a visitor visa?	Do I need a transit visa for layover in Italy?	question-question	
What does this tablature notation mean?	What does the conversation mean?	question-question	
How can I tell if I'm planking correctly?	How can I tell if my cat is pregnant?	question-question	
Is there a way to find out if I need a transit visa for a layover in the UK?	Do I need a transit visa for a stop in London?	question-question	
Where could the air in the water system be coming from?	Where could water be coming from inside the joint between bathtub and wall tiles?	question-question	
What are the types of Guitar available and what are the pros and cons of each?	What are the pros and cons of storing bread in various locations?	question-question	
How to get rid of oversleeping?	How to get rid of weevils?	question-question	
How long should it take to read a paper?	How long should it take to get a Russian passport?	question-question	
How do I install switches in this box?	How do I install this sump basin?	question-question	
Do I need a UK transit visa for flying to the Canary Islands?	What visa do I need to visit my uncle in the UK?	question-question	
How do I clean the bottom of a gas grill?	How do I clean a pasta maker?	question-question	
How High Can I Raise My Lights?	Can I use my dehydrator to raise bread?	question-question	
What is the difference between a Rollover IRA and a Roth IRA?	What is the difference between a filler word and a discourse marker?	question-question	
How do I keep my dog's water clean?	How do I make my dog forget a command?	question-question	
Where can I find a good vocabulary list?	Where can I find the dividend history for a stock?	question-question	
How can I wire my WIFI thermostat to control my millivolt fireplace?	How can I add tile to my fireplace?	question-question	
What's the difference between stroganoff and goulash?	What is the difference between portamento and glissando?	question-question	
Do I need to apply for a UK transit visa when I have a visitor visa?	Do I need an airport transit visa through Switzerland if I have a Schengen visa?	question-question	
What is the difference between a stock and a bond?	What is the difference between a prawn and a shrimp?	question-question	
Is it safe to travel to Turkey at this time (August 2013)?	Is it safe to travel to Kiev at the moment?	question-question	
How can I help my dog adjust to a move?	How can I get my dog get used to a new small environment?	question-question	
What instrument is this?	What is this Chord Notation?	question-question	
"What was the meaning of ""21 grams""?"	"What's the meaning of ""first-page-first order""?"	question-question	
How much water is too much?	Drinking how much water is considered too much water?	question-question	
How do I reconnect a ceiling fan light chain?	How do I connect a ceiling fan without a light kit?	question-question	
How do you teach a toddler not to share?	How to teach a toddler how to treat a book?	question-question	
How can I get my dog to slow down when eating?	How can I get my dog to stop being so sensitive to noise?	question-question	
How should I ground a GFCI to a metal box?	How should I connect to a short ground wire in a metal box?	question-question	
Do I need to apply for a UK transit visa when I have a visitor visa?	Do I need a UK or Ireland transit visa when flying from the US to a Schengen country?	question-question	
Do I need a UK transit visa for flying to the Canary Islands?	Do I need a transit visa in Paris and Panama?	question-question	
What is the actual difference between Graduate and Undergraduate texts?	what is the difference between Erebor and Moria?	question-question	
How can I control a bath fan with two lights through a single wire?	How can I replace a single switch with two switches?	question-question	
How does one invent a cookie recipe?	How does the number of eggs affect a cookie recipe?	question-question	
Do I need to apply for a UK transit visa when I have a visitor visa?	Do I need a transit visa for layover in Luanda?	question-question	
What is the difference between EFTA and the EU?	What is the difference between chicken cubes and ground chicken?	question-question	
What kind of spider web is this - and how do I get rid of it?	How do I get rid of this mould?	question-question	
"What does ""do."" mean in old recipes?"	"What does ""respectively"" mean in the Tenth Amendment?"	question-question	
What is the difference between analog and digital effects pedals?	What is the difference between portamento and glissando?	question-question	
How can I control a bath fan with two lights through a single wire?	How do I wire a bath fan?	question-question	
How can I get rid of springtails?	How can I get rid of mosquitoes?	question-question	
Do I need to apply for a UK transit visa when I have a visitor visa?	Do I need a UK transit visa when travelling in the grace period of a J1 visa?	question-question	
What are the types of Guitar available and what are the pros and cons of each?	What are the pros and cons of feeding on demand?	question-question	
How do I stop my cat from peeing on rugs and linens?	How can I stop my dog from peeing on our neighbor's door?	question-question	
How to address a professor in letter?	How to address a person in a letter?	question-question	
What is the difference between a stock and a bond?	What is the difference between a bond and a debenture?	question-question	
How do I fix a hole/gap between my shower tile and the dry wall next to it?	How do I fill a gap between my hearth and the hardwood frame around it?	question-question	
What is the difference between a stock and a bond?	What is the difference between portamento and glissando?	question-question	
What do I do with the neutral and ground when wiring a transfer switch?	How do I wire a switch when the wire colors do not match?	question-question	
How do I retrieve a detached plunger from a bathtub drain?	How do I replace a bathtub drain trip lever?	question-question	
How do I stop my dog from jumping on me?	How can I stop my pie from burning?	question-question	
What is the best way to repair a cracked bathtub?	What is the best way to filter the Turkish coffee?	question-question	
How can I reduce my need to do a water change on my turtle's habitat?	How do I know when it's time to change a tube on my amplifier?	question-question	
What is the difference between assertive and non-assertive words?	What is the difference between a diphthong and a glide?	question-question	
"Is it ok to use ""and/or"" in my dissertation?"	"Is it appropriate for a TA to say ""My Students""?"	question-question	
What are the pros and cons of setting up a 529 plan for myself?	What are the pros and cons of being co-supervised?	question-question	
Do I need a UK transit visa when flying from Lebanon to Ireland?	Do I need a transit Visa when changing terminals in LHR(UK)?	question-question	
I'm an Indonesian citizen. Do I need a visa for South Korea?	Visiting Korea as an Indonesian citizen with a US student visa: Do I need a visa for Korea?	question-question	
What is the difference between an amp and a head?	What is the difference between a copula and a transitive verb?	question-question	
What is the difference between mono and stereo?	what is the difference between Erebor and Moria?	question-question	
How should I fill in pits in a concrete floor so I can install laminate?	How can I paint a concrete floor?	question-question	
Which job title to use?	Which survey software to use?	question-question	
How do I make my own chocolate chips?	I want to make my own cheese. How do I get started?	question-question	
Layover at Narita for 3 hours. Do i need a transit visa?	Do I need a transit visa in Paris and Panama?	question-question	
What kind of socket is this?	What is type of screw is this?	question-question	
What are the pros and cons of buying a house using an FHA loan?	What are the pros and cons of feeding on demand?	question-question	
How can I stop my pre-schooler from whining?	How can I stop my pie from burning?	question-question	
What kind of socket is this?	What kind of trade is this?	question-question	
Is it normal for cats to eat grass?	Is it normal for a cat to eat moths?	question-question	
