pair_ID	sentence_A	sentence_B	relatedness_score	f_score	mse
9745	Two young boys are looking up at the camera and one is sticking out his tongue	The little boy is sticking his tongue out for the camera and another boy is looking on	0.880	0.462	0.175
9722	A boy is running through the sand	A boy wearing a striped shirt is running barefoot on the sandy hill	0.780	0.364	0.173
197	Someone is on a black and white motorcycle and is standing on the seat	A motorcycle is riding standing up on the seat of the vehicle	0.633	0.222	0.169
8938	One boy in orange shorts is standing on a rock cliff over the water and the other boy in black shorts is jumping of it into the water	Two males are standing on a cliff edge and one is jumping into the water	0.800	0.391	0.167
9424	A dog is in a sandy area with the sand that is being stirred up into the air and several plants are in the background	A dog is in the sand that is blowing in the air	0.820	0.412	0.167
7947	A kid in a white t-shirt is splashing in shallow water	A boy is running through the water at the beach	0.680	0.273	0.166
4963	Garlic is being chopped by a woman	A woman is chopping garlic	0.940	0.533	0.165
873	Not a lot of people are in an ice skating park	An ice skating rink placed outdoors is full of people	0.700	0.296	0.163
647	One man is climbing a cliff with a rope	A person with pink climbing gear roped the rock	0.660	0.261	0.159
1190	A man and a woman are hiking through a wooded area	A man and a woman are walking together through the woods	0.860	0.462	0.159
9747	A little boy is sticking his tongue out for the camera and another boy is looking on	Two kids are looking up at the camera and one is sticking out his tongue	0.880	0.486	0.155
2485	The man is playing a guitar	A man is playing a trumpet	0.440	0.833	0.155
6544	The ice hockey goalkeeper is wearing a yellow jersey and is defending the goal	There is no hockey player in a yellow jersey guarding the goal	0.800	0.410	0.152
3909	The man is singing and playing the guitar	The guitar is being played by a man	0.860	0.471	0.152
6146	Two people are standing in the ocean and watching the sunset	Nobody is standing in the ocean and watching the sunset	0.500	0.889	0.151
9198	A woman in blue jeans is standing in front of a group of children beside a stone built house	No lady is standing on the street and is surrounded by school children	0.640	0.256	0.147
2392	The man is not slicing the potato	The man is slicing a potato	0.540	0.923	0.147
4814	A monkey is pulling a dog's tail	A monkey is teasing a dog at the zoo	0.880	0.500	0.144
9500	A big brown and white spotted dog is lying on a jacket on the street	The dog is having a nap in the park	0.580	0.200	0.144
8313	A young girl with painted face is standing next to some other children	Children are being dressed in costumes and playing a game	0.620	0.242	0.143
619	A boy is climbing up a wall artificially built for climbing and is attached to a rope	A little boy, who looks fearful, is on a climbing wall.	0.700	0.324	0.141
7064	A trick is being performed by a rollerblader on a ramp	A rollerblader is performing a trick on a ramp	1.000	0.632	0.136
8727	A group of people are standing around a sound mixing table	Some people is looking at sound equipment	0.700	0.333	0.134
9490	A cluster of four brown dogs are playing in a field of brown grass	Four dogs are not playing in a grassy area	0.800	0.435	0.133
3275	A child is running in and out of the waves of the ocean	A child is running in and out of the ocean waves	0.980	0.615	0.133
4140	Several boys are jumping on a trampoline	A man is doing back flips on a trampoline	0.680	0.316	0.133
6042	The small child is walking through the water and is being guided by another person	A young child is splashing in the water	0.680	0.320	0.130
5113	Two sumo ringers are fighting	Two sumo wrestlers are fighting	0.800	0.444	0.126
4803	There is no monkey teasing a dog at the zoo	A monkey is teasing a dog at the zoo	0.587	0.941	0.125
4638	A keyboard is being played by a man	A man is playing a harp	0.480	0.833	0.125
2687	The person is slicing a clove of garlic into pieces	The person is not slicing a clove of garlic into pieces	0.600	0.952	0.124
4866	A person is dancing	A woman is exercising	0.600	0.250	0.122
7356	Small children are climbing a statue in a park	Two children are playing on a statue	0.820	0.471	0.122
780	A woman, who is old, is near a white dog	A woman and a dog are sitting on a tree stump	0.620	0.273	0.121
3143	A monkey is kicking at a person's glove	The monkey is practicing martial arts	0.720	0.375	0.119
116	A player is throwing the ball	Two teams are competing in a football match	0.580	0.235	0.119
7394	A child is smiling at the camera and swimming underwater	A child is swimming underwater in a pool	0.820	0.476	0.118
9545	A man on a yellow sport bike is doing a wheelie and a friend on a black bike is catching up	The rider dressed in orange is driving a motorcycle on one wheel	0.560	0.216	0.118
9380	The players is maneuvering for the soccer ball	A man in green is kicking a soccer ball and a man in purple and white is rising up	0.700	0.357	0.118
2720	The man is kick boxing with a trainer	There is no karate practitioner kicking at another man who is wearing protective boxing gloves	0.600	0.258	0.117
382	A brown and white dog is running through the tall grass	A brown and white dog is moving through the wild grass	0.880	0.538	0.117
7743	A dog is playing alone on a beach covered by snow	A dog is walking along a snowdrift	0.640	0.300	0.116
1039	The snowboarder isn't leaping over white snow	A person who is practicing snowboarding jumps into the air	0.660	0.320	0.116
6912	The woman wearing the blue and white uniform with a white and blue hat is keeping her mouth open and is near others who are dressed in the same fashion	A woman is wearing a blue shirt with a white vest and a white cap and is talking and marching	0.680	0.344	0.113
6849	Two children, who are small, are playing with a toy car in the street	A father is pushing his daughter on a go-kart and another girl is watching	0.440	0.105	0.112
1266	A band is playing on a stage	A band is playing onstage	1.000	0.667	0.111
8700	A black and orange bird is standing in the grass	The black bird with a yellow beak is standing in the green grass	0.800	0.467	0.111
3910	A man is packing the guitar	The man is singing and playing the guitar	0.680	0.353	0.107
3598	One man is doing floor exercises	A man is doing exercises	0.860	0.533	0.107
105	Four children are doing backbends in the gym	Four girls are doing backbends and playing outdoors	0.760	0.435	0.106
3123	There is no woman using an eye pencil and applying eye liner to her eyelid	A woman is applying cosmetics to her eyelid	0.620	0.296	0.105
3996	There is no man singing and playing a guitar	A boy is playing a piano	0.440	0.118	0.104
698	A dog which is furry and black is in a back yard and is carrying a basket in its mouth	A dog next to a tree, which is probably a pine, is biting a bucket	0.557	0.235	0.103
8500	The man is going into the water	The person is going into the sea	0.820	0.500	0.102
9056	Two young girls are wearing hats and sticking their colored tongues out	Two kids are sticking out blue and green colored tongues	0.720	0.400	0.102
7311	A cigarette is being smoked by the man in the straw hat	A man is wearing a straw hat and smoking a cigarette	0.960	0.640	0.102
402	A group of scouts are hiking through the grass	A group of explorers are walking through the grass	0.820	0.500	0.102
1506	Three men are practicing karate outdoors	Three boys in karate costumes are fighting	0.760	0.444	0.100
1333	The woman is measuring the other woman	A woman is being measured by another woman	0.980	0.667	0.098
5030	The man is talking on the telephone	The man is speaking on the telephone	0.980	0.667	0.098
3670	It is raining on a walking man	A man is walking in the rain	0.980	0.667	0.098
6705	A child, who is small, is outdoors climbing steps outdoors in an area full of grass	A small child is outdoors climbing steps in a grassy area	0.980	0.667	0.098
7938	An Asian woman is holding a fur scarf	An elegant woman is inside a crowd of people and is looking down	0.440	0.133	0.094
9401	The man dressed in leather chaps and a purple shirt is standing in front of someone lookers	A man is wearing a purple shirt and black leather chaps and is posing for the camera	0.660	0.356	0.093
7228	There is no young boy jumping in the air with his knees bent and arms spread	A person with a green shirt is jumping high over the grass	0.520	0.216	0.092
3036	The puppy is not playing with a plastic container	The puppy is playing with a plastic container	0.640	0.941	0.091
5938	Vegetables are being put into a pot by a man	Someone is pouring ingredients into a pot	0.800	0.500	0.090
4891	A man is doing pull-ups	The man is doing exercises in a gym	0.800	0.500	0.090
6709	A little child in a pink sweater is climbing a concrete staircase	A small child is outdoors climbing steps in a grassy area	0.700	0.400	0.090
7533	A child is watching someone playing outdoors and is spouting water over the rest of his family 	A boy is holding a hose next to a man and another boy is watching	0.600	0.300	0.090
5920	A horse is being ridden by a person	A woman is slicing potatoes	0.200	0.500	0.090
7044	The rider on the blue and black motocross bike is not wearing the pants	A biker with a blue jacket, black pants and a white helmet is driving on dirt and people are watching	0.640	0.340	0.090
4187	There is no dog playing with a toy	A dog is eating a doll	0.760	0.462	0.089
8841	A small white dog is running across a lawn	A big white dog is running across a lawn	0.620	0.917	0.088
7018	A child in clothing which is light colored is standing with his arms extended outward	A child in light colored clothing is standing with his arms extended outward	1.000	0.706	0.087
947	Some corndogs are being eaten by two toddlers who are in a wagon, which is really small	Two toddlers are eating corndogs in a wagon, which is really small	0.960	0.667	0.086
651	A person is climbing a rock with a rope, which is pink	One man is climbing a cliff with a rope	0.920	0.632	0.083
9336	A group of people is walking down the street and a person in a green hat is on the phone	Four people are walking along a city sidewalk and the one in the green hat is phoning someone	0.840	0.553	0.082
8212	A girl has colored patches on the cheeks	A girl is standing in a group and is wearing a black shirt and pink beads	0.480	0.194	0.082
7546	A young girl in a blue leotard is jumping in the air	A young girl in a leotard colored in blue is jumping in the air	1.000	0.714	0.082
7363	A tower is being looked at by a blonde lady	A woman is looking at the view of a city	0.660	0.375	0.081
6866	A golden dog is running through a field of tall grass	There is no brown dog running through tall green grass	0.800	0.519	0.079
8326	There is no bmx biker jumping dirt ramps in front of a body of water	Two bmx bikers are jumping dirt ramps in front of a body of water	0.880	0.600	0.078
7590	A person is looking at a bike designed for motocross that is lying on its side and another is racing by	The bike rider is looking at an accident of another bike rider	0.620	0.343	0.077
7043	The motocross rider is standing naked	A biker with a blue jacket, black pants and a white helmet is driving on dirt and people are watching	0.520	0.244	0.076
8633	A man is rock climbing, pausing and calculating the route	A man is rock climbing, stopping and calculating the route	0.960	0.686	0.075
2405	The lady is slicing a tomato	Someone is cutting a tomato	0.940	0.667	0.075
7374	A man is standing on the top of the rocks with clouds behind them	Somebody is standing on a mountain top	0.620	0.348	0.074
7319	A man is wearing a blue shirt which has long sleeves and jeans and is riding a unicycle down a street	A man is wearing a blue checkered shirt and riding a unicycle in the street	0.860	0.588	0.074
1302	A man is playing flute	A man is playing a game with a ball	0.300	0.571	0.074
2402	Someone is cutting a tomato	The woman is holding a whole tomato	0.700	0.429	0.074
1137	A fish is hunting for a turtle in the sea	The turtle is following the fish	0.700	0.429	0.074
1881	The food on the trays is being eaten by the kittens	A few kittens are eating	0.840	0.571	0.072
6961	A white man is staging a hat and a playing guitar	A man in a white hat is playing guitar on stage	0.600	0.333	0.071
630	A man isn't tossing a kid into the swimming pool that is near the ocean	The man is tossing a kid into the swimming pool that is near the ocean	0.700	0.966	0.070
3855	A man is stopping in the middle of a road	A man is walking down a road	0.640	0.375	0.070
8558	A grey silky dog is lying in the grass and a brown dog is looking on	The brown dog is spotting a black dog lying in the dry grass	0.640	0.375	0.070
2430	One man is running down the road	A man is running	0.880	0.615	0.070
7582	The bunch of men are playing rugby on a field full of mud	Some men are playing rugby	0.900	0.636	0.070
3625	A woman is putting meat in a pan	There is no woman putting meat in a pan	0.680	0.941	0.068
1443	A man is talking on the radio	A man is spitting	0.340	0.600	0.068
4196	A man is dancing	A man is praying fervently	0.340	0.600	0.068
5657	A person is eating in a restaurant	A person is making a bed	0.240	0.500	0.068
9136	A man in a black jersey is standing in a gym	A man is standing in a gym and is wearing a jersey	0.900	0.640	0.068
3711	A toy train is striking a toy car	A toy train is missing a toy car	0.760	0.500	0.068
7541	There is no football player in a purple jersey running with the ball for a touchdown	A football player is running past an official carrying a football	0.660	0.400	0.068
6394	A waterfall is flowing into a shallow pool	The people are walking on the road beside a beautiful waterfall	0.460	0.200	0.068
9314	A snowboarder is grinding down a long concrete rail	A person is doing acrobatics on a snowboard	0.660	0.400	0.068
6590	A young girl is standing on one leg	A young female is dancing	0.660	0.400	0.068
2766	A man and woman are talking	A man and a woman are eating happily	0.520	0.778	0.066
8389	A white man is walking next to a building in a big city	A black man is walking next to a building in a big city	0.660	0.917	0.066
384	A white and tan dog is running through the tall and green grass	A white and tan dog is running through a field	0.870	0.615	0.065
5540	A group of people are dancing in a show	A group of people are marching	0.460	0.714	0.065
9093	A large man is sitting in a military accessories store	A veteran is showing different things from a war to some people	0.560	0.308	0.064
8122	A female cheerleader is sitting on the knee of a male cheerleader	Some cheerleaders are relaxing	0.600	0.348	0.064
2364	Some cameras are being burned by a person with a blow torch	The person is setting fire to the cameras	0.840	0.588	0.063
2679	A man is parking a car in a garage	A man is getting into a car	0.680	0.429	0.063
7477	A man in a white shirt and sunglasses and a man in a black shirt and sunglasses are sitting at a table with four bottles of beer	A man in a white shirt and sunglasses and a man in a black shirt and sunglasses are sitting at a table with four beer bottles	0.980	0.730	0.062
7088	A group of football players is standing still in the field	The crowd is watching a football game	0.520	0.273	0.061
6649	Two teenage girls are wearing fancy dresses at an event	Two girls in their teens are wearing fancy dresses at an event	0.960	0.714	0.060
5110	A chef is preparing some food	A chef is preparing a meal	0.960	0.714	0.060
9433	The black and white dog is running in a green yard	A black and white dog is running outdoors	0.880	0.636	0.059
7937	A woman dressed in elegant clothing is inside a crowd of people and is looking up	A woman dressed in elegant clothing is inside a crowd of people and is looking down	0.620	0.864	0.059
2965	A big green ball is missing a potato	A big green ball is knocking a potato	0.660	0.900	0.058
3897	There is no man exercising	A man is exercising	0.680	0.444	0.055
9102	A dog with a blue collar is playing with the ball outside	A grey dog is bouncing a soccer ball on its head in a grass field	0.680	0.444	0.055
1170	A potato is being sliced by a woman	A woman is slicing a carrot	0.600	0.833	0.054
1412	Men are sawing logs	Men are cutting wood	0.900	0.667	0.054
2557	Someone is strumming the guitar	Someone is playing the guitar	0.900	0.667	0.054
1470	Three men are jumping off a wall	Three young men are furiously running, jumping and kicking near a vending machine	0.500	0.267	0.054
6358	The woman in a red costume is leaning against a brick wall and playing an instrument	The woman in a red costume is not leaning against a brick wall and is not playing an instrument	0.640	0.870	0.053
4966	A woman is slicing a fish	There is no woman slicing a fish	0.540	0.769	0.053
860	One white dog and one black one are running side by side on the grass	A dog, which has a black coat, and a white dog are running on the grass	0.840	0.611	0.052
9763	A person is slicing some mushrooms	The elephant is being ridden by the woman	0.200	0.429	0.052
1192	A man and a woman are walking together through the woods	A man and a woman are walking through a wooded area	0.920	0.692	0.052
219	There is no girl in white dancing	A girl in white is dancing	0.840	0.615	0.050
3338	There is no man standing on a roof top and playing a violin	A man is standing on a roof top and playing a violin	0.680	0.903	0.050
1396	A man is screaming	A man is scared	0.720	0.500	0.048
1628	Some ingredients are being mixed in a bowl by a person	Some ingredients are being separated in a bowl by a person	0.920	0.700	0.048
4191	A dog is eating a doll	A dog is playing with a toy	0.720	0.500	0.048
816	A group of people is equipped with protective gear	A group of people is equipped with gear used for protection	1.000	0.783	0.047
2366	A person by some cameras is blowing on a burning torch	The person is setting fire to the cameras	0.660	0.444	0.046
228	A girl in white is dancing	The blond girl is dancing in front of the sound equipment	0.660	0.444	0.046
4067	The man is removing knives from a tree	The man is throwing knives at a tree	0.660	0.875	0.046
3880	A man is dancing on the ceiling of a room	The man is dancing upside-down on the ceiling	0.880	0.667	0.046
8334	A man is doing a trick on a skateboard	A person is doing a trick on a skateboard	0.880	0.667	0.046
8986	A young girl in a bikini is jumping on the beach	A young girl in swimming suite is jumping on the beach	0.880	0.667	0.046
3680	Racers are running down a track	There are no racers running down a track	0.740	0.952	0.045
4734	A man is fitting a silencer to a pistol	A man is applying a silencer to a gun	0.960	0.750	0.044
7720	There is no man spraying a super soaker into the mouth of a dog	A man is squirting water into the mouth of a white dog with a squirt gun	0.580	0.370	0.044
6598	A bee is clinging to a yellow flower	There is no small bee landing on a bunch of yellow flowers	0.780	0.571	0.044
225	The equipment in front of the blond dancing girl is sound	A girl in white is dancing	0.540	0.333	0.043
4477	A man is punching a soccer ball	A man is mixing the content of a bowl	0.240	0.444	0.042
2842	A little girl is playing a grand piano on stage	A girl is practicing the piano	0.760	0.556	0.042
2362	A person is burning some cameras with a blow torch	The tall person is setting fire to the cameras	0.760	0.556	0.042
7475	A man and two women in a darkened room are sitting at a table with candles	The group of dim people is sitting in a room	0.500	0.296	0.041
8548	The child is splashing water in a big red pool	A toddler is making a splash inside a blue paddling pool	0.620	0.417	0.041
7649	There is no little boy wearing a green soccer strip and running on the grass	A little boy is wearing a green soccer strip and is running on the grass	0.720	0.923	0.041
5051	A man is opening a door	There is no man opening a door	0.720	0.923	0.041
4155	A man is playing a wooden flute	There is no man playing a wooden flute	0.740	0.941	0.040
3222	There is no boy walking across a bridge	A boy is walking across a bridge	0.740	0.941	0.040
1711	A man is emptying a container made of plastic	A man is carelessly holding a frog	0.220	0.421	0.040
7718	A man is spraying a super soaker into the mouth of a dog	There is no man spraying a super soaker into the mouth of a dog	0.760	0.960	0.040
2968	A large green ball is missing a potato	A large green ball is hitting a potato	0.700	0.900	0.040
6955	A blonde boy in green is sitting on a swing	There is no little girl with blond hair smiling and sitting on a swing	0.637	0.438	0.040
9036	A white dog is approaching a golden dog on pebbly beach	Two dogs are playing on a rocky beach	0.580	0.381	0.040
6228	People at a drag race are running away from the flames that are coming out of the cars	The crowd is watching two racing cars that are leaving the starting line	0.520	0.323	0.039
8057	A young girl is wearing a blue patterned swim suit, a black and yellow swim cap and has blue swimming goggles on her head	A little girl is wearing a blue patterned swim suit, a black and yellow swim cap and has blue swimming goggles on the head	0.960	0.765	0.038
9200	A lady is standing on the street and is surrounded by school children	A man in blue jeans is standing in front of a group of children beside a stone built house	0.400	0.205	0.038
4411	Two men in a race are flipping the tires of a tractor	Two men are competing in a tire rolling race	0.740	0.545	0.038
4060	A man is running on the road	A dog is running breathlessly on the road	0.520	0.714	0.038
4650	A man is cutting a thick rope with a sword	There is no man cutting a rope with a sword	0.720	0.526	0.038
9211	A guy is leaping into the air in wood	A guy is leaping into the air in a wooded area	0.860	0.667	0.037
3733	Swimmers are racing in a lake	Some racers are swimming in a lake	0.860	0.667	0.037
8786	A girl is skipping rope on a sidewalk	A girl is skipping rope on near a street	0.860	0.667	0.037
2566	Three women are dancing	A few women are dancing	0.920	0.727	0.037
3922	Boys are not dancing in front of some people	Boys are dancing in front of some people	0.760	0.952	0.037
6625	There is no white dog with beige spots running through a field	A tan dog is running through the brush	0.540	0.348	0.037
2221	Someone is falling off a horse	The man is not knocked off of a horse	0.780	0.588	0.037
5909	A woman is pouring ingredients into a bowl	The chef is seasoning the oil	0.620	0.429	0.037
1525	A woman is planting some flowers	A woman is cutting broccoli	0.240	0.429	0.036
185	Few people are eating at red tables in a restaurant without lights	A large group of Asian people is eating at a restaurant	0.520	0.333	0.035
2932	The woman is cutting a carrot	An onion is being sliced by a woman	0.480	0.667	0.035
9452	A dog is jumping into the air in the country	A dog is jumping in the shade of some trees	0.740	0.556	0.034
3485	The cat is looking out the window at the table on the perch	The cat perched on the table is looking out the window	0.820	0.636	0.034
4767	A man is cooking a snake	There is no man cooking a snake	0.740	0.923	0.034
7027	The boy and girl are not playing on a playground	The boy and girl are playing on the outdoor gym	0.600	0.783	0.033
4852	A band is not playing some instruments	A band is playing some instruments	0.760	0.941	0.033
7795	A tennis player is lunging to the left	A tennis player is jumping to the left	0.880	0.700	0.032
7877	A man in a blue cowboy hat is riding a white horse	A man in blue is riding a horse on a dirt road	0.780	0.600	0.032
7466	The group of people is sitting in a dim room	The group of people is sitting in a room which is dim	0.980	0.800	0.032
8660	A group of rollerbladers is lining up on the street	A group of rollerbladers is lining up on the road	0.980	0.800	0.032
4934	Recruits are talking to an officer	An officer is talking to the recruits	0.740	0.917	0.031
5806	A man is rowing a canoe	A man is rowing a boat	0.840	0.667	0.030
4823	A person is cutting some ginger	A person is slicing an onion	0.600	0.429	0.029
8193	The adults and children are not gathered near an outdoor seating arrangement	The adults and children are being gathered near an outdoor seating arrangement	0.880	0.710	0.029
7501	The woman is not wearing a red jacket and is not holding a glass in front of the man in a white t-shirt	A person is wearing a red jacket and holding a beer	0.480	0.650	0.029
1754	A flute is being played in a lovely way by a girl	A flute is being played by a girl	0.920	0.750	0.029
6396	A dog is scattering a pack of white sheep on a dusty farm	A dog is herding a pack of white sheep on a dusty farm	0.760	0.929	0.028
9169	A little brown and white dog is running on the sidewalk	A little brown and white dog is running on the road	0.740	0.571	0.028
3433	A tray is being buttered by a person	A person is buttering a tray	1.000	0.833	0.028
2829	The lady is penciling on eyeshadow	The woman is penciling on eyeshadow	1.000	0.833	0.028
7677	A young mother is playing with her boy in the park	A young boy is playing in the park with his mother	0.900	0.733	0.028
4288	The woman is slicing cooked octopus	A woman is chopping up an octopus	0.880	0.714	0.027
5924	The man is not doing exercises	The man is doing exercises	0.760	0.923	0.027
417	Two men are taking a break from a trip on a snowy road	Two men with cars are on the side of a snowy road	0.800	0.640	0.026
3291	A woman is putting away carrots	A woman is coating a pork chop	0.340	0.500	0.026
6673	A classroom full of students is looking attentively in the same direction inside a bamboo structure	A group of students in uniforms is listening attentively at the front of the class	0.560	0.400	0.026
3384	A panda bear is eating some bamboo	Some bamboo is being eaten by a panda bear	0.960	0.800	0.026
3862	The man is walking along a path through the wilderness	A man is lazily walking down a road	0.657	0.500	0.025
8792	A girl is jumping rope on a sidewalk near a parking garage	A girl is skipping rope on near a street	0.740	0.583	0.025
9125	A young woman with Indian clothing and henna on her hand is going through paperwork	A woman is wearing a colorful shirt and a lot of jewelry	0.480	0.324	0.024
2936	Two men are fighting in a cattle pen	Two men are outside a cattle pen	0.600	0.444	0.024
2096	The man is granting an interview	A man's white car is being driven away	0.220	0.375	0.024
7214	A brown dog is running across the yard with a toy in its mouth	There is no brown dog running across the yard with a toy in its mouth	0.760	0.606	0.024
980	A man is getting on a horse on a track laid in the wild	A horse is tossing the cowboy wearing pants of blue and red color	0.420	0.267	0.024
6219	A man is standing on a boat in front of the sunset near a flag	A man is on a boat in front of the sunset	0.820	0.667	0.024
8806	A dog is swimming in a body of water	An animal is swimming in a body of water	0.900	0.750	0.023
5745	A tiger cub is playing with a ball	A baby is playing with a doll	0.280	0.429	0.022
394	A man is sitting near a bike and is writing a note	A man is standing near a bike and is writing on a piece paper	0.720	0.867	0.022
1495	A man is playing a guitar	A man is strumming a guitar	0.980	0.833	0.022
3721	The person is slicing onions	Onions are being sliced by the person	0.980	0.833	0.022
4015	The lady is picking up the kangaroo	The woman is picking up the kangaroo	0.980	0.833	0.022
4001	A man is recklessly climbing a rope	A man is climbing a rope	0.860	0.714	0.021
5349	A large flute is being played by a man	A man is playing a flute	0.860	0.714	0.021
2157	The picture of a camera set up is being taken by a man on the beach at the sunset	A man is taking pictures of a lake	0.600	0.455	0.021
9623	A man is wearing a blue shirt and walking barefoot on a tennis court	A woman is wearing a blue shirt and walking barefoot on a tennis court	0.720	0.865	0.021
1877	The kittens on the trays are being eaten as food for an advertisement	The food on the trays is being eaten by the kittens	0.700	0.556	0.021
6482	The person is not standing on white ice	A person is standing in a vast field of glacial ice	0.620	0.476	0.021
6158	A race car driver is standing up and is fiercely pointing his hand at the sky	The person in the blue jacket is wearing a colorful helmet	0.320	0.176	0.021
1690	The milk is being drunk by a cat	The cat is drinking some milk	1.000	0.857	0.020
2772	A person is pouring oil for cooking into a pot	A person is pouring cooking oil into a pot	1.000	0.857	0.020
2967	A large green ball is hitting a potato	A large green colored ball is hitting a potato	0.960	0.818	0.020
7007	A white dog is standing on fallen leaves	A white dog is lying on fallen leaves	0.760	0.900	0.020
3322	The woman is chopping some bread and fried pork	A woman is cooking a breaded pork chop	0.640	0.500	0.020
2812	A plane is landing	An animated airplane is taking off	0.540	0.400	0.020
304	An old, topless woman is covered in paint	A young, topless woman is covered in paint	0.760	0.900	0.020
988	A talk about an adult and a boy is given in the amphitheater	An adult is in the amphitheater and is talking to a boy	0.620	0.480	0.020
7932	A person in a pink jacket is running onto the field	Four athletes are with a woman in a crowded stadium	0.400	0.261	0.019
6047	A man and a woman are in a room painted beige, wearing dark colored shirts and a monitor is in the background	A man and a woman are in a beige room, wearing dark colored shirts and a monitor is in the background	1.000	0.862	0.019
8632	A man is not rock climbing and a city and a bay are in the background	A man is rock climbing and a city and a bay are in the background	0.880	0.743	0.019
7410	An American footballer is wearing the red and white strip	A football player is wearing black armbands	0.480	0.343	0.019
7772	A surfer is riding a big wave across dark green water	The surfer is riding a small wave	0.780	0.643	0.019
5003	A big cat is opening a plastic drawer with its paws and is jumping inside	A cat is opening a drawer and jumping inside	0.880	0.743	0.019
